file_name,train_acc,test_acc,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i0_c0.npy,0.6084,0.4983,0,c0,0.5575,0.0008225975119501881,0.5592404707609783,0.01063575722375861,0.5556,0.07191328110995912
i0_c1.npy,0.6092,0.493,0,c1,0.5592,0.002244994432064365,0.560293008345737,0.006834557300908438,0.5571999999999999,0.06457987302557973
i0_c2.npy,0.6212,0.4951,0,c2,0.5680000000000001,0.0061730597491573376,0.5692117323426987,0.0040981580120742975,0.5632,0.07298547800761462
i0_c3.npy,0.6124,0.5101,0,c3,0.5566,0.002343786110832936,0.5582194157791786,0.0074386387519922124,0.5513333333333333,0.0700040633741277
i0_g.npy,0.5754,0.5343,0,g,0.5223166666666667,0.002805302518842169,0.5237945677056081,0.0021832784537414466,0.49933333333333335,0.09093465908124483
i1_c0.npy,0.6604,0.5478,1,c0,0.5575666666666667,0.0014302291968616655,0.5514152692637931,0.0061657904439998265,0.6254666666666667,0.06881188527831188
i1_c1.npy,0.644,0.5323,1,c1,0.5617666666666667,0.0010918892902772794,0.5556480880028426,0.005625791125537127,0.6224,0.05706510901300956
i1_c2.npy,0.6576,0.5387,1,c2,0.5694333333333333,0.00485031499549829,0.5618257638146994,0.002643983666576268,0.6334666666666667,0.06362878454144964
i1_c3.npy,0.6588,0.5614,1,c3,0.5541666666666667,0.0023364265211833187,0.5482867106321442,0.004389291821475267,0.6209333333333333,0.06714667196187431
i1_g.npy,0.6196,0.5748,1,g,0.5255833333333334,0.0012687482895445345,0.5234057893482096,0.003136469513048163,0.5831,0.08336298139262215
i2_c0.npy,0.6844,0.577,2,c0,0.5561333333333334,0.0009843215373489002,0.5466814705991659,0.007165508596473867,0.6674666666666665,0.06487718311462735
i2_c1.npy,0.6756,0.562,2,c1,0.5609999999999999,0.00016329931618557254,0.5515903009581796,0.005515544882393626,0.6579999999999999,0.0543823500779435
i2_c2.npy,0.6876,0.5647,2,c2,0.566,0.0007916228058025202,0.5554715636049677,0.006663845712725524,0.6674666666666665,0.054157137623360004
i2_c3.npy,0.6828,0.5857,2,c3,0.5576333333333334,0.004043788103031896,0.5476766546518027,0.0015819070317688194,0.664,0.06296835183910511
