,train_acc,test_acc
i0_c0,0.544,0.4891
i0_c1,0.5644,0.5029
i0_g,0.5424,0.5091
i1_c0,0.5784,0.5219
i1_c1,0.596,0.5298
i1_g,0.5765,0.5342
i2_c0,0.6028,0.5456
i2_c1,0.6208,0.5543
i2_g,0.6003,0.5592
i3_c0,0.6222,0.5602
i3_c1,0.6302,0.5682
i3_g,0.6182,0.5735
i4_c0,0.6358,0.576
i4_c1,0.653,0.5864
i4_g,0.6372,0.5912
i5_c0,0.6504,0.5933
i5_c1,0.6652,0.5978
i5_g,0.6506,0.6042
i6_c0,0.6678,0.6028
i6_c1,0.6766,0.6111
i6_g,0.6618,0.6161
i7_c0,0.6768,0.6145
i7_c1,0.689,0.6225
i7_g,0.6733,0.6261
i8_c0,0.6856,0.6255
i8_c1,0.6998,0.6314
i8_g,0.6849,0.6382
i9_c0,0.6984,0.6365
i9_c1,0.7054,0.6394
i9_g,0.6897,0.6469
