,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.9002,0.827,0.89,0.8235
i0_c1,0.897,0.8275,0.8962,0.8265
i0_g,0.8856,0.8447,,
i1_c0,0.9114,0.827,0.9074,0.8242
i1_c1,0.8978,0.8308,0.8952,0.8253
i1_g,0.8923,0.8491,,
i2_c0,0.9194,0.8319,0.916,0.8289
i2_c1,0.9098,0.8369,0.9042,0.8342
i2_g,0.8935,0.8509,,
i3_c0,0.9148,0.8375,0.911,0.8347
i3_c1,0.9124,0.8358,0.906,0.8319
i3_g,0.8931,0.8524,,
i4_c0,0.9188,0.8352,0.9156,0.8339
i4_c1,0.9086,0.8318,0.9048,0.8315
i4_g,0.8944,0.8515,,
i5_c0,0.9224,0.8358,0.9184,0.8324
i5_c1,0.9142,0.8354,0.9084,0.8332
i5_g,0.8955,0.8535,,
i6_c0,0.921,0.8374,0.9136,0.8349
i6_c1,0.9142,0.8355,0.911,0.835
i6_g,0.8953,0.8535,,
i7_c0,0.9306,0.8439,0.9262,0.8379
i7_c1,0.91,0.8362,0.9088,0.8325
i7_g,0.8997,0.8562,,
i8_c0,0.9182,0.8339,0.9166,0.8345
i8_c1,0.9102,0.8382,0.9068,0.8366
i8_g,0.8972,0.8566,,
i9_c0,0.925,0.8396,0.9192,0.8362
i9_c1,0.9128,0.8387,0.9112,0.8354
i9_g,0.8953,0.8524,,
