,0,1
i0_c0,1.0,0.3232
i0_c1,1.0,0.3191
i0_c2,1.0,0.331
i0_c3,1.0,0.3187
i0_c4,1.0,0.3254
i0_c5,1.0,0.3159
i0_c6,1.0,0.3206
i0_c7,1.0,0.324
i0_g,0.8296,0.5228
i1_c0,1.0,0.322
i1_c1,1.0,0.3128
i1_c2,1.0,0.3339
i1_c3,1.0,0.3182
i1_c4,1.0,0.3279
i1_c5,1.0,0.3165
i1_c6,1.0,0.3188
i1_c7,1.0,0.321
i1_g,0.8299,0.5234
i2_c0,1.0,0.3239
i2_c1,1.0,0.313
i2_c2,1.0,0.3348
i2_c3,1.0,0.3178
i2_c4,1.0,0.3237
i2_c5,1.0,0.3149
i2_c6,1.0,0.3227
i2_c7,1.0,0.3204
i2_g,0.8284,0.523
i3_c0,1.0,0.3218
i3_c1,1.0,0.3155
i3_c2,1.0,0.3364
i3_c3,1.0,0.3192
i3_c4,1.0,0.3273
i3_c5,1.0,0.3174
i3_c6,1.0,0.3205
i3_c7,1.0,0.3227
i3_g,0.8257,0.5186
i4_c0,1.0,0.3181
i4_c1,1.0,0.3121
i4_c2,1.0,0.3348
i4_c3,1.0,0.3173
i4_c4,1.0,0.3238
i4_c5,1.0,0.316
i4_c6,1.0,0.3189
i4_c7,1.0,0.3216
i4_g,0.8283,0.5237
