,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.9448,0.7032,0.128,0.1332
i0_c1,0.9328,0.6943,0.1264,0.1343
i0_c2,0.928,0.6949,0.1304,0.1269
i0_c3,0.9392,0.6897,0.1688,0.1675
i0_c4,0.9192,0.7064,0.1424,0.1428
i0_c5,0.9136,0.7015,0.1352,0.1449
i0_c6,0.9296,0.6992,0.1776,0.16
i0_c7,0.9248,0.7246,0.136,0.1266
i0_g,0.1443,0.1424,,
i1_c0,0.1512,0.1445,0.14,0.1518
i1_c1,0.1472,0.1449,0.1616,0.1667
i1_c2,0.1344,0.1449,0.1264,0.1371
i1_c3,0.1528,0.1451,0.1528,0.1551
i1_c4,0.136,0.1455,0.116,0.1318
i1_c5,0.152,0.1449,0.152,0.1435
i1_c6,0.16,0.1453,0.1672,0.1573
i1_c7,0.1432,0.1453,0.1608,0.1477
i1_g,0.15,0.1603,,
i2_c0,0.1536,0.1625,0.16,0.1592
i2_c1,0.156,0.1618,0.1504,0.1545
i2_c2,0.1264,0.1617,0.1752,0.1767
i2_c3,0.168,0.1619,0.1528,0.1496
i2_c4,0.132,0.1618,0.1528,0.1475
i2_c5,0.1472,0.1622,0.1336,0.1296
i2_c6,0.1784,0.1616,0.1576,0.1596
i2_c7,0.1552,0.1616,0.1624,0.1665
i2_g,0.1652,0.1711,,
i3_c0,0.1608,0.1727,0.168,0.18
i3_c1,0.1736,0.173,0.1912,0.1706
i3_c2,0.1504,0.173,0.1168,0.1234
i3_c3,0.1928,0.1728,0.16,0.1545
i3_c4,0.1664,0.1732,0.1432,0.1431
i3_c5,0.1512,0.1733,0.136,0.1657
i3_c6,0.1776,0.1727,0.1808,0.1721
i3_c7,0.1704,0.173,0.1408,0.1531
i3_g,0.1608,0.1587,,
i4_c0,0.1584,0.1602,0.132,0.1425
i4_c1,0.1784,0.1602,0.1568,0.1483
i4_c2,0.1552,0.1603,0.1832,0.1951
i4_c3,0.1624,0.1601,0.1776,0.1772
i4_c4,0.16,0.1606,0.1368,0.1515
i4_c5,0.1656,0.1604,0.1552,0.165
i4_c6,0.16,0.1609,0.168,0.1447
i4_c7,0.1648,0.1599,0.1712,0.1758
i4_g,0.1705,0.1715,,
i5_c0,0.1608,0.1732,0.1784,0.1707
i5_c1,0.1856,0.1733,0.1608,0.1464
i5_c2,0.168,0.173,0.1648,0.1632
i5_c3,0.1744,0.173,0.1528,0.1449
i5_c4,0.1776,0.1726,0.168,0.1554
i5_c5,0.1744,0.1731,0.1688,0.1652
i5_c6,0.1672,0.1727,0.1712,0.1697
i5_c7,0.168,0.1729,0.124,0.1277
i5_g,0.1647,0.162,,
i6_c0,0.1744,0.1634,0.1584,0.1599
i6_c1,0.1752,0.1633,0.1688,0.162
i6_c2,0.156,0.1625,0.1272,0.1275
i6_c3,0.1616,0.1629,0.1696,0.1747
i6_c4,0.1688,0.1626,0.1648,0.1672
i6_c5,0.1688,0.1632,0.1616,0.1703
i6_c6,0.168,0.1629,0.172,0.1843
i6_c7,0.1584,0.1631,0.1608,0.1747
i6_g,0.1742,0.173,,
i7_c0,0.1736,0.174,0.1784,0.162
i7_c1,0.1896,0.1742,0.1512,0.1427
i7_c2,0.1624,0.1739,0.1456,0.1602
i7_c3,0.168,0.1741,0.1488,0.1566
i7_c4,0.172,0.1743,0.128,0.1232
i7_c5,0.184,0.1739,0.18,0.1719
i7_c6,0.1784,0.1741,0.2048,0.1973
i7_c7,0.1736,0.1742,0.1704,0.1646
i7_g,0.1759,0.1659,,
i8_c0,0.1832,0.1671,0.1848,0.1628
i8_c1,0.2048,0.1673,0.1776,0.1647
i8_c2,0.1576,0.1676,0.1496,0.1422
i8_c3,0.1792,0.1677,0.1784,0.1813
i8_c4,0.1736,0.1677,0.1512,0.1543
i8_c5,0.1856,0.1679,0.1616,0.147
i8_c6,0.1736,0.1675,0.1392,0.1473
i8_c7,0.1632,0.1676,0.1496,0.1665
i8_g,0.1673,0.1599,,
i9_c0,0.1616,0.1611,0.1776,0.1835
i9_c1,0.1848,0.1611,0.188,0.1776
i9_c2,0.1624,0.1608,0.1592,0.1547
i9_c3,0.1736,0.1607,0.1736,0.1608
i9_c4,0.1536,0.1608,0.1568,0.149
i9_c5,0.1856,0.1605,0.1624,0.1436
i9_c6,0.1664,0.161,0.1344,0.1412
i9_c7,0.1616,0.1608,0.172,0.1737
i9_g,0.1725,0.167,,
