,0,1
i0_c0,0.3464,0.1258
i0_c1,0.3456,0.1172
i0_c2,0.4544,0.1442
i0_c3,0.3368,0.1193
i0_c4,0.4208,0.1388
i0_c5,0.3312,0.1096
i0_c6,0.3728,0.1355
i0_c7,0.4448,0.1361
i0_g,0.1412,0.119
i1_c0,0.3496,0.1236
i1_c1,0.3552,0.1223
i1_c2,0.4008,0.1223
i1_c3,0.3368,0.1275
i1_c4,0.4656,0.1534
i1_c5,0.3576,0.1105
i1_c6,0.3576,0.1353
i1_c7,0.4576,0.1339
i1_g,0.1358,0.1126
i2_c0,0.3408,0.1255
i2_c1,0.3528,0.1044
i2_c2,0.4472,0.1388
i2_c3,0.34,0.1214
i2_c4,0.4632,0.1416
i2_c5,0.3256,0.1001
i2_c6,0.3768,0.1265
i2_c7,0.4784,0.1431
i2_g,0.135,0.1146
i3_c0,0.3384,0.1233
i3_c1,0.352,0.1102
i3_c2,0.4352,0.1446
i3_c3,0.356,0.1246
i3_c4,0.4552,0.1452
i3_c5,0.332,0.1016
i3_c6,0.3504,0.1207
i3_c7,0.4296,0.1149
i3_g,0.1304,0.1101
i4_c0,0.3304,0.1183
i4_c1,0.3736,0.1172
i4_c2,0.4152,0.1292
i4_c3,0.3368,0.1199
i4_c4,0.4656,0.1393
i4_c5,0.3608,0.1128
i4_c6,0.3504,0.1243
i4_c7,0.46,0.1502
i4_g,0.1353,0.1121
