,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.9504,0.5737,0.1248,0.1361
i0_c1,0.9664,0.5611,0.1168,0.1208
i0_c2,0.9568,0.555,0.1216,0.1396
i0_c3,0.9536,0.5733,0.1536,0.1283
i0_c4,0.9552,0.5632,0.1392,0.1673
i0_c5,0.952,0.5752,0.1312,0.1339
i0_c6,0.9648,0.5456,0.1264,0.1248
i0_c7,0.9504,0.5762,0.2112,0.1906
i0_c8,0.9408,0.566,0.104,0.1274
i0_c9,0.936,0.5586,0.1568,0.1532
i0_c10,0.9664,0.5352,0.144,0.1238
i0_c11,0.9392,0.585,0.1568,0.1302
i0_c12,0.9584,0.5682,0.136,0.1439
i0_c13,0.9456,0.559,0.152,0.1529
i0_c14,0.9296,0.5855,0.16,0.1643
i0_c15,0.9568,0.5572,0.1616,0.1705
i0_g,0.1677,0.1641,,
i1_c0,0.3232,0.2459,0.2192,0.1812
i1_c1,0.2848,0.2494,0.1552,0.1507
i1_c2,0.3248,0.2534,0.16,0.1389
i1_c3,0.3216,0.2365,0.1856,0.1665
i1_c4,0.3056,0.2415,0.1472,0.1516
i1_c5,0.3184,0.2389,0.1872,0.1766
i1_c6,0.3248,0.2488,0.1296,0.1271
i1_c7,0.328,0.2367,0.1952,0.1655
i1_c8,0.3216,0.243,0.1888,0.1619
i1_c9,0.3392,0.2483,0.1712,0.1726
i1_c10,0.3136,0.2471,0.144,0.1287
i1_c11,0.328,0.2473,0.1824,0.1695
i1_c12,0.336,0.2474,0.1712,0.1645
i1_c13,0.3264,0.2437,0.1424,0.1304
i1_c14,0.2928,0.2515,0.176,0.1764
i1_c15,0.3184,0.2368,0.1808,0.1603
i1_g,0.2105,0.2068,,
i2_c0,0.3392,0.2697,0.1776,0.162
i2_c1,0.304,0.263,0.2032,0.1809
i2_c2,0.3088,0.2679,0.1664,0.1693
i2_c3,0.3248,0.27,0.184,0.1798
i2_c4,0.336,0.2644,0.2064,0.1602
i2_c5,0.312,0.2683,0.2016,0.1981
i2_c6,0.3344,0.2662,0.1456,0.1416
i2_c7,0.3168,0.2643,0.1632,0.1419
i2_c8,0.3296,0.2705,0.1984,0.1817
i2_c9,0.336,0.2692,0.1744,0.1637
i2_c10,0.3408,0.2705,0.2,0.1665
i2_c11,0.3424,0.2686,0.1552,0.1773
i2_c12,0.3584,0.2641,0.168,0.1641
i2_c13,0.3392,0.2574,0.1536,0.1595
i2_c14,0.3104,0.2727,0.2,0.2073
i2_c15,0.3312,0.2631,0.1856,0.1904
i2_g,0.2257,0.2229,,
i3_c0,0.3408,0.2817,0.16,0.1512
i3_c1,0.28,0.2813,0.1632,0.1833
i3_c2,0.3584,0.287,0.1616,0.1493
i3_c3,0.3248,0.2806,0.1568,0.1686
i3_c4,0.3136,0.2786,0.1824,0.169
i3_c5,0.328,0.2833,0.1584,0.1862
i3_c6,0.3712,0.2818,0.1776,0.1581
i3_c7,0.3472,0.275,0.1952,0.1861
i3_c8,0.3072,0.2753,0.1984,0.1698
i3_c9,0.3408,0.2815,0.1824,0.1718
i3_c10,0.3712,0.2805,0.2384,0.2481
i3_c11,0.3184,0.2848,0.168,0.1624
i3_c12,0.36,0.2819,0.2,0.1899
i3_c13,0.328,0.2753,0.2016,0.1785
i3_c14,0.3264,0.2791,0.1888,0.1849
i3_c15,0.336,0.2759,0.1584,0.1582
i3_g,0.2478,0.2408,,
i4_c0,0.3152,0.2859,0.2048,0.1819
i4_c1,0.312,0.281,0.1936,0.1899
i4_c2,0.3424,0.2874,0.144,0.1674
