,train_acc,test_acc
i0_c0,0.6994,0.6244
i0_c1,0.7004,0.6176
i0_g,0.6883,0.6466
i1_c0,0.7552,0.6847
i1_c1,0.7596,0.686
i1_g,0.7487,0.707
i2_c0,0.7894,0.7243
i2_c1,0.7902,0.7221
i2_g,0.7803,0.7393
i3_c0,0.811,0.7373
i3_c1,0.806,0.7423
i3_g,0.8013,0.7609
i4_c0,0.8264,0.7579
i4_c1,0.824,0.757
i4_g,0.8198,0.7782
i5_c0,0.838,0.7679
i5_c1,0.8352,0.7705
i5_g,0.8278,0.788
i6_c0,0.8482,0.7785
i6_c1,0.8428,0.7758
i6_g,0.8342,0.7959
i7_c0,0.8548,0.7876
i7_c1,0.851,0.7828
i7_g,0.8432,0.8039
i8_c0,0.8572,0.7966
i8_c1,0.8498,0.7866
i8_g,0.8494,0.8083
i9_c0,0.8644,0.7948
i9_c1,0.859,0.7936
i9_g,0.854,0.8108
