,train_acc,test_acc
i0_c0,0.7856,0.4975
i0_c1,0.7968,0.4896
i0_c2,0.8128,0.4818
i0_c3,0.7728,0.4924
i0_c4,0.8016,0.484
i0_c5,0.7888,0.4867
i0_c6,0.7968,0.4657
i0_c7,0.7808,0.4942
i0_c8,0.776,0.4856
i0_c9,0.776,0.4784
i0_c10,0.8,0.4639
i0_c11,0.7632,0.4917
i0_c12,0.792,0.487
i0_c13,0.7648,0.4812
i0_c14,0.7824,0.5001
i0_c15,0.7792,0.4839
i0_g,0.6538,0.6224
i1_c0,0.8496,0.5413
i1_c1,0.8128,0.5295
i1_c2,0.8432,0.5363
i1_c3,0.8304,0.5528
i1_c4,0.8416,0.537
i1_c5,0.8352,0.538
i1_c6,0.848,0.5409
i1_c7,0.8208,0.5451
i1_c8,0.8336,0.5433
i1_c9,0.8352,0.5366
i1_c10,0.8832,0.5182
i1_c11,0.8192,0.5566
i1_c12,0.824,0.5464
i1_c13,0.816,0.5211
i1_c14,0.8368,0.5449
i1_c15,0.8224,0.5288
i1_g,0.7077,0.6739
i2_c0,0.856,0.5723
i2_c1,0.8432,0.5689
i2_c2,0.8816,0.5595
i2_c3,0.8432,0.5765
i2_c4,0.8592,0.5608
i2_c5,0.864,0.5605
i2_c6,0.8592,0.5546
i2_c7,0.8672,0.5752
i2_c8,0.8384,0.5729
i2_c9,0.8528,0.5653
i2_c10,0.888,0.5529
i2_c11,0.8624,0.5853
i2_c12,0.8816,0.5864
i2_c13,0.8608,0.5518
i2_c14,0.8544,0.5823
i2_c15,0.8688,0.5649
i2_g,0.7392,0.6992
i3_c0,0.8912,0.5948
i3_c1,0.8816,0.59
i3_c2,0.896,0.5887
i3_c3,0.8912,0.5992
i3_c4,0.8944,0.5989
i3_c5,0.8576,0.5821
i3_c6,0.8816,0.5855
i3_c7,0.8688,0.5929
i3_c8,0.8592,0.5866
i3_c9,0.8736,0.5803
i3_c10,0.8992,0.5756
i3_c11,0.8624,0.5973
i3_c12,0.8816,0.5993
i3_c13,0.8752,0.5904
i3_c14,0.8624,0.5957
i3_c15,0.888,0.5868
i3_g,0.7576,0.7206
i4_c0,0.88,0.6108
i4_c1,0.8864,0.6068
i4_c2,0.9184,0.5961
i4_c3,0.8768,0.6141
i4_c4,0.88,0.6036
i4_c5,0.8976,0.605
i4_c6,0.9024,0.6019
i4_c7,0.896,0.6256
i4_c8,0.8832,0.6179
i4_c9,0.8768,0.5999
i4_c10,0.9104,0.5967
i4_c11,0.8624,0.6096
i4_c12,0.8896,0.6138
i4_c13,0.8912,0.6067
i4_c14,0.8896,0.6321
i4_c15,0.8976,0.5975
i4_g,0.7734,0.7374
i5_c0,0.9056,0.6297
i5_c1,0.9104,0.6146
i5_c2,0.9296,0.6162
i5_c3,0.8896,0.6337
i5_c4,0.9056,0.6221
i5_c5,0.9024,0.6242
i5_c6,0.9088,0.6128
i5_c7,0.8976,0.6272
i5_c8,0.8976,0.631
i5_c9,0.8848,0.623
i5_c10,0.9344,0.612
i5_c11,0.896,0.648
i5_c12,0.9056,0.631
i5_c13,0.8848,0.6258
i5_c14,0.8816,0.6375
i5_c15,0.912,0.6206
i5_g,0.7851,0.749
i6_c0,0.9248,0.6411
i6_c1,0.9136,0.6219
i6_c2,0.9264,0.6219
i6_c3,0.9056,0.6398
i6_c4,0.9216,0.6395
i6_c5,0.92,0.6301
i6_c6,0.9248,0.6233
i6_c7,0.912,0.6371
i6_c8,0.9072,0.6335
i6_c9,0.8976,0.6281
i6_c10,0.936,0.6293
i6_c11,0.8928,0.6516
i6_c12,0.9296,0.6458
i6_c13,0.912,0.6392
i6_c14,0.888,0.6434
i6_c15,0.912,0.6246
i6_g,0.8008,0.7601
i7_c0,0.9392,0.6606
i7_c1,0.928,0.643
i7_c2,0.9456,0.6441
i7_c3,0.912,0.6589
i7_c4,0.9136,0.6371
i7_c5,0.9312,0.6443
i7_c6,0.8992,0.6368
i7_c7,0.912,0.651
i7_c8,0.904,0.6422
i7_c9,0.9216,0.6419
i7_c10,0.9376,0.6335
i7_c11,0.8976,0.6603
i7_c12,0.9408,0.6544
i7_c13,0.9232,0.6503
i7_c14,0.9008,0.6538
i7_c15,0.9376,0.6497
i7_g,0.8078,0.7706
i8_c0,0.9296,0.6675
i8_c1,0.9232,0.65
i8_c2,0.9504,0.6533
i8_c3,0.9136,0.6655
i8_c4,0.9168,0.6463
i8_c5,0.9104,0.637
i8_c6,0.9264,0.6484
i8_c7,0.9248,0.6575
i8_c8,0.9136,0.6519
i8_c9,0.912,0.6541
i8_c10,0.944,0.6453
i8_c11,0.8992,0.6641
i8_c12,0.9408,0.6647
i8_c13,0.936,0.6626
i8_c14,0.9232,0.6697
i8_c15,0.9424,0.6574
i8_g,0.8133,0.7754
i9_c0,0.9408,0.6775
i9_c1,0.928,0.6537
i9_c2,0.9552,0.6598
i9_c3,0.9216,0.6789
i9_c4,0.9376,0.6596
i9_c5,0.928,0.6586
i9_c6,0.9248,0.6557
i9_c7,0.9344,0.6806
i9_c8,0.9232,0.6677
i9_c9,0.9296,0.6572
i9_c10,0.9424,0.6435
i9_c11,0.9168,0.6783
i9_c12,0.9392,0.6728
i9_c13,0.9376,0.6587
i9_c14,0.912,0.6776
i9_c15,0.9408,0.6486
i9_g,0.82,0.7813
