,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.9054,0.8249,0.3678,0.3533
i0_c1,0.8942,0.8259,0.3746,0.3541
i0_g,0.4324,0.4139,,
i1_c0,0.9154,0.8286,0.4182,0.3885
i1_c1,0.8978,0.8273,0.3766,0.3704
i1_g,0.4547,0.4471,,
i2_c0,0.9196,0.8357,0.4334,0.4462
i2_c1,0.9144,0.8311,0.4228,0.413
i2_g,0.4868,0.4894,,
i3_c0,0.919,0.8303,0.4002,0.3918
i3_c1,0.9196,0.8354,0.4484,0.4351
i3_g,0.4924,0.4861,,
i4_c0,0.9166,0.8309,0.449,0.4424
i4_c1,0.9064,0.8372,0.4246,0.4127
i4_g,0.516,0.5024,,
i5_c0,0.9248,0.8397,0.4658,0.4393
i5_c1,0.9106,0.8352,0.4676,0.4497
i5_g,0.5338,0.5145,,
i6_c0,0.924,0.832,0.4598,0.4562
i6_c1,0.912,0.8331,0.4432,0.4419
i6_g,0.5218,0.5089,,
i7_c0,0.9192,0.8285,0.4802,0.4747
i7_c1,0.9154,0.8385,0.4556,0.4585
i7_g,0.5241,0.5284,,
i8_c0,0.925,0.8378,0.4928,0.48
i8_c1,0.9098,0.8376,0.4518,0.4519
i8_g,0.537,0.533,,
i9_c0,0.9254,0.8355,0.4592,0.4488
i9_c1,0.9204,0.8321,0.4742,0.4597
i9_g,0.5228,0.5156,,
