,0,1
i0_c0,0.5696,0.3003
i0_c1,0.5328,0.2808
i0_g,0.5527,0.3708
i1_c0,0.5524,0.2951
i1_c1,0.5592,0.2914
i1_g,0.5698,0.3883
i2_c0,0.5556,0.2878
i2_c1,0.5892,0.3255
i2_g,0.5708,0.3847
i3_c0,0.5452,0.2761
i3_c1,0.5258,0.2676
i3_g,0.5095,0.3352
i4_c0,0.4986,0.2487
i4_c1,0.5606,0.2865
i4_g,0.512,0.3383
i5_c0,0.4922,0.2586
i5_c1,0.532,0.2755
i5_g,0.5266,0.3636
i6_c0,0.591,0.3392
i6_c1,0.546,0.2827
i6_g,0.5894,0.3985
i7_c0,0.5208,0.2707
i7_c1,0.5384,0.2771
i7_g,0.5092,0.3421
i8_c0,0.5574,0.2817
i8_c1,0.5344,0.2695
i8_g,0.5342,0.3448
i9_c0,0.5562,0.2965
i9_c1,0.5576,0.2976
i9_g,0.5425,0.3652
