,train_acc,test_acc
i0_c0,0.6422,0.5698
i0_c1,0.6444,0.568
i0_g,0.6334,0.5906
i1_c0,0.701,0.6251
i1_c1,0.7038,0.6237
i1_g,0.6901,0.6481
i2_c0,0.7342,0.658
i2_c1,0.7402,0.6623
i2_g,0.7267,0.6827
i3_c0,0.7554,0.6883
i3_c1,0.7644,0.6933
i3_g,0.7507,0.7082
i4_c0,0.7776,0.7131
i4_c1,0.784,0.7149
i4_g,0.773,0.7292
i5_c0,0.7946,0.7284
i5_c1,0.7934,0.7303
i5_g,0.7886,0.7449
i6_c0,0.8092,0.7404
i6_c1,0.807,0.7447
i6_g,0.7988,0.7573
i7_c0,0.8182,0.7495
i7_c1,0.8154,0.7519
i7_g,0.8071,0.767
i8_c0,0.8304,0.7584
i8_c1,0.822,0.7615
i8_g,0.8182,0.7775
i9_c0,0.8336,0.7662
i9_c1,0.8306,0.7661
i9_g,0.8266,0.784
