,0,1
i0_c0,0.0856,0.0608
i0_c1,0.036,0.0226
i0_c2,0.0592,0.0369
i0_c3,0.1016,0.0766
i0_c4,0.0584,0.0483
i0_c5,0.0648,0.0419
i0_c6,0.0376,0.0225
i0_c7,0.0304,0.0239
i0_g,0.031,0.0245
i1_c0,0.0536,0.0323
i1_c1,0.0408,0.0231
i1_c2,0.0504,0.0428
i1_c3,0.0616,0.0446
i1_c4,0.0768,0.0506
i1_c5,0.0648,0.0459
i1_c6,0.0376,0.0225
i1_c7,0.0256,0.0225
i1_g,0.0295,0.0225
i2_c0,0.0632,0.0435
i2_c1,0.036,0.0226
i2_c2,0.0696,0.0479
i2_c3,0.06,0.0295
i2_c4,0.0648,0.0383
i2_c5,0.064,0.0466
i2_c6,0.0376,0.0225
i2_c7,0.0744,0.0562
i2_g,0.0308,0.0239
i3_c0,0.0832,0.0589
i3_c1,0.0368,0.0227
i3_c2,0.0576,0.0465
i3_c3,0.0792,0.0541
i3_c4,0.0592,0.0422
i3_c5,0.0624,0.0415
i3_c6,0.044,0.023
i3_c7,0.0368,0.024
i3_g,0.0315,0.0246
i4_c0,0.0576,0.0323
i4_c1,0.0448,0.024
i4_c2,0.0592,0.0459
i4_c3,0.0968,0.0675
i4_c4,0.0448,0.0453
i4_c5,0.0624,0.0411
i4_c6,0.0376,0.0225
i4_c7,0.0264,0.0229
i4_g,0.031,0.0242
