,train_acc,test_acc
i0_c0,0.8402,0.7679
i0_c1,0.8222,0.7665
i0_g,0.8393,0.805
i1_c0,0.8564,0.7852
i1_c1,0.8534,0.7875
i1_g,0.8541,0.8143
i2_c0,0.865,0.799
i2_c1,0.861,0.7931
i2_g,0.8626,0.8272
i3_c0,0.8756,0.8032
i3_c1,0.8684,0.7969
i3_g,0.8687,0.8284
i4_c0,0.8808,0.8123
i4_c1,0.876,0.8054
i4_g,0.8743,0.8297
i5_c0,0.8818,0.814
i5_c1,0.8786,0.807
i5_g,0.8749,0.8366
i6_c0,0.8798,0.8029
i6_c1,0.883,0.8163
i6_g,0.8756,0.8349
i7_c0,0.8866,0.8165
i7_c1,0.884,0.8192
i7_g,0.8785,0.8415
i8_c0,0.8858,0.8157
i8_c1,0.8834,0.8224
i8_g,0.8763,0.8444
i9_c0,0.883,0.8152
i9_c1,0.8792,0.8207
i9_g,0.8795,0.8422
