,0,1
i0_c0,1.0,0.3132
i0_c1,1.0,0.306
i0_c2,1.0,0.3199
i0_c3,1.0,0.3095
i0_c4,1.0,0.3148
i0_c5,1.0,0.305
i0_c6,1.0,0.3091
i0_c7,1.0,0.3088
i0_g,0.8389,0.5184
i1_c0,1.0,0.3148
i1_c1,1.0,0.3049
i1_c2,1.0,0.3218
i1_c3,1.0,0.3106
i1_c4,1.0,0.3138
i1_c5,1.0,0.3055
i1_c6,1.0,0.3084
i1_c7,1.0,0.3101
i1_g,0.8373,0.5206
i2_c0,1.0,0.311
i2_c1,1.0,0.3051
i2_c2,1.0,0.3202
i2_c3,1.0,0.3089
i2_c4,1.0,0.3137
i2_c5,1.0,0.3058
i2_c6,1.0,0.3108
i2_c7,1.0,0.3105
i2_g,0.839,0.5186
i3_c0,1.0,0.3124
i3_c1,1.0,0.3069
i3_c2,1.0,0.3216
i3_c3,1.0,0.3096
i3_c4,1.0,0.3162
i3_c5,1.0,0.3055
i3_c6,1.0,0.3095
i3_c7,1.0,0.3098
i3_g,0.8387,0.5194
i4_c0,1.0,0.3096
i4_c1,1.0,0.3069
i4_c2,1.0,0.3219
i4_c3,1.0,0.3098
i4_c4,1.0,0.3138
i4_c5,1.0,0.3061
i4_c6,1.0,0.3085
i4_c7,1.0,0.3087
i4_g,0.8392,0.5188
