,0,1
i0_c0,1.0,0.4535
i0_c1,1.0,0.4541
i0_g,0.9758,0.5373
i1_c0,1.0,0.4551
i1_c1,1.0,0.4542
i1_g,0.9776,0.5368
i2_c0,1.0,0.4526
i2_c1,1.0,0.4539
i2_g,0.9764,0.5335
i3_c0,1.0,0.4522
i3_c1,1.0,0.4526
i3_g,0.9762,0.538
i4_c0,1.0,0.4536
i4_c1,1.0,0.4555
i4_g,0.9752,0.538
