,train_acc,test_acc
i0_c0,0.6808,0.6096
i0_c1,0.676,0.6025
i0_g,0.6685,0.6256
i1_c0,0.7346,0.6598
i1_c1,0.741,0.6663
i1_g,0.726,0.6818
i2_c0,0.7714,0.6992
i2_c1,0.7722,0.7004
i2_g,0.7605,0.7224
i3_c0,0.7948,0.7203
i3_c1,0.7946,0.7268
i3_g,0.7841,0.7431
i4_c0,0.8092,0.7373
i4_c1,0.8042,0.7465
i4_g,0.7991,0.7583
i5_c0,0.8234,0.7545
i5_c1,0.8154,0.7532
i5_g,0.8121,0.7721
i6_c0,0.8324,0.7621
i6_c1,0.8264,0.7618
i6_g,0.818,0.7771
i7_c0,0.8416,0.7738
i7_c1,0.8354,0.771
i7_g,0.8303,0.7924
i8_c0,0.8476,0.7806
i8_c1,0.8402,0.7792
i8_g,0.8381,0.7963
i9_c0,0.857,0.7867
i9_c1,0.8454,0.7827
i9_g,0.8434,0.8005
