,train_acc,test_acc
i0_c0,0.8084,0.3095
i0_c1,0.848,0.3337
i0_c2,0.824,0.3202
i0_c3,0.8208,0.3279
i0_g,0.5719,0.3891
i1_c0,0.9088,0.4122
i1_c1,0.9216,0.4337
i1_c2,0.9092,0.4199
i1_c3,0.9248,0.423
i1_g,0.7484,0.4879
i2_c0,0.9404,0.4619
i2_c1,0.952,0.4755
i2_c2,0.9552,0.4728
i2_c3,0.9544,0.4669
i2_g,0.8258,0.5184
i3_c0,0.9644,0.4939
i3_c1,0.9632,0.4936
i3_c2,0.9704,0.4903
i3_c3,0.9664,0.4903
i3_g,0.8695,0.5283
i4_c0,0.9728,0.5014
i4_c1,0.9712,0.505
i4_c2,0.976,0.5053
i4_c3,0.9716,0.4995
i4_g,0.896,0.5286
i5_c0,0.9764,0.4988
i5_c1,0.9736,0.5111
i5_c2,0.9788,0.5127
i5_c3,0.978,0.5079
i5_g,0.914,0.5315
i6_c0,0.9824,0.508
i6_c1,0.978,0.5095
i6_c2,0.9776,0.5163
i6_c3,0.9844,0.5081
i6_g,0.9267,0.53
i7_c0,0.9848,0.5125
i7_c1,0.9816,0.511
i7_c2,0.982,0.5112
i7_c3,0.984,0.5067
i7_g,0.9363,0.5302
i8_c0,0.982,0.5131
i8_c1,0.9836,0.5085
i8_c2,0.9828,0.5085
i8_c3,0.9852,0.511
i8_g,0.9427,0.5284
i9_c0,0.9896,0.5047
i9_c1,0.9864,0.514
i9_c2,0.984,0.5119
i9_c3,0.9896,0.5084
i9_g,0.9507,0.5259
