,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,1.0,0.2668,1.0,0.2616
i0_c1,1.0,0.2462,1.0,0.2371
i0_c2,1.0,0.2396,1.0,0.2302
i0_c3,1.0,0.2529,1.0,0.2448
i0_c4,1.0,0.2591,1.0,0.2473
i0_c5,1.0,0.2467,1.0,0.2384
i0_c6,1.0,0.2364,1.0,0.2255
i0_c7,1.0,0.2588,1.0,0.2481
i0_c8,1.0,0.2639,1.0,0.2591
i0_c9,1.0,0.2557,1.0,0.2532
i0_c10,1.0,0.2491,1.0,0.2443
i0_c11,1.0,0.25,1.0,0.2485
i0_c12,1.0,0.2401,1.0,0.2343
i0_c13,1.0,0.2494,1.0,0.2437
i0_c14,1.0,0.2407,1.0,0.2328
i0_c15,1.0,0.2645,1.0,0.2528
i0_g,0.6068,0.4106,,
i1_c0,1.0,0.3732,1.0,0.3544
i1_c1,1.0,0.3481,1.0,0.3375
i1_c2,1.0,0.3489,1.0,0.3347
i1_c3,1.0,0.3697,1.0,0.3635
i1_c4,1.0,0.3704,1.0,0.3595
i1_c5,1.0,0.3697,1.0,0.3576
i1_c6,1.0,0.3493,1.0,0.3401
i1_c7,1.0,0.3675,1.0,0.3636
i1_c8,1.0,0.3799,1.0,0.3797
i1_c9,1.0,0.3708,1.0,0.3634
i1_c10,1.0,0.3643,1.0,0.3577
i1_c11,1.0,0.3539,1.0,0.3399
i1_c12,1.0,0.3588,1.0,0.357
i1_c13,1.0,0.3621,1.0,0.3537
i1_c14,1.0,0.3555,1.0,0.349
i1_c15,1.0,0.3813,1.0,0.3712
i1_g,0.7718,0.5044,,
i2_c0,1.0,0.4276,1.0,0.4224
i2_c1,1.0,0.4054,1.0,0.3957
i2_c2,1.0,0.4069,1.0,0.3962
i2_c3,1.0,0.4333,1.0,0.4205
i2_c4,1.0,0.4293,1.0,0.4199
i2_c5,1.0,0.4263,1.0,0.4141
i2_c6,1.0,0.4145,1.0,0.3998
i2_c7,1.0,0.4233,1.0,0.4182
i2_c8,1.0,0.4405,1.0,0.4229
i2_c9,1.0,0.4304,1.0,0.4111
i2_c10,1.0,0.4305,1.0,0.4164
i2_c11,1.0,0.4119,1.0,0.4107
i2_c12,1.0,0.4248,1.0,0.4101
i2_c13,1.0,0.4221,1.0,0.4164
i2_c14,1.0,0.4156,1.0,0.4053
i2_c15,1.0,0.4413,1.0,0.4311
i2_g,0.8422,0.5369,,
i3_c0,1.0,0.457,1.0,0.4495
i3_c1,1.0,0.4374,1.0,0.4277
i3_c2,1.0,0.4472,1.0,0.4368
