,train_acc,test_acc
i0_c0,0.8848,0.759
i0_c1,0.874,0.7488
i0_c2,0.8644,0.7527
i0_c3,0.8788,0.7716
i0_g,0.8517,0.8157
i1_c0,0.9164,0.778
i1_c1,0.898,0.7734
i1_c2,0.896,0.7754
i1_c3,0.896,0.7836
i1_g,0.8701,0.8353
i2_c0,0.9208,0.7882
i2_c1,0.9116,0.7898
i2_c2,0.9092,0.7852
i2_c3,0.9072,0.7897
i2_g,0.8799,0.8437
i3_c0,0.9304,0.794
i3_c1,0.9208,0.7998
i3_c2,0.9112,0.7976
i3_c3,0.9088,0.8023
i3_g,0.8819,0.8453
i4_c0,0.9352,0.7983
i4_c1,0.9196,0.7971
i4_c2,0.9216,0.8052
i4_c3,0.9276,0.8027
i4_g,0.8866,0.8499
i5_c0,0.94,0.8023
i5_c1,0.9216,0.7934
i5_c2,0.9256,0.8027
i5_c3,0.9256,0.8061
i5_g,0.8895,0.8517
i6_c0,0.9364,0.8034
i6_c1,0.9328,0.8046
i6_c2,0.9228,0.8081
i6_c3,0.922,0.803
i6_g,0.8905,0.8513
i7_c0,0.9416,0.8005
i7_c1,0.9328,0.8012
i7_c2,0.9268,0.811
i7_c3,0.9328,0.8085
i7_g,0.8903,0.8501
i8_c0,0.9432,0.81
i8_c1,0.9324,0.8046
i8_c2,0.9308,0.8148
i8_c3,0.9276,0.8109
i8_g,0.894,0.8541
i9_c0,0.9352,0.8088
i9_c1,0.9348,0.8055
i9_c2,0.9312,0.8131
i9_c3,0.9276,0.8118
i9_g,0.8917,0.8561
