,train_acc,test_acc
i0_c0,0.8984,0.8183
i0_c1,0.8902,0.8182
i0_g,0.8765,0.8406
i1_c0,0.9108,0.8292
i1_c1,0.9056,0.837
i1_g,0.8898,0.8504
i2_c0,0.9222,0.8365
i2_c1,0.9094,0.8391
i2_g,0.895,0.8519
i3_c0,0.9208,0.8405
i3_c1,0.9172,0.8423
i3_g,0.898,0.8562
i4_c0,0.9236,0.8412
i4_c1,0.9204,0.8458
i4_g,0.9005,0.8582
i5_c0,0.9246,0.8458
i5_c1,0.921,0.8465
i5_g,0.9003,0.8597
i6_c0,0.9254,0.8416
i6_c1,0.9228,0.8485
i6_g,0.9011,0.8596
i7_c0,0.924,0.8443
i7_c1,0.924,0.8483
i7_g,0.9024,0.8596
i8_c0,0.9248,0.847
i8_c1,0.9226,0.8502
i8_g,0.9022,0.8607
i9_c0,0.9246,0.8473
i9_c1,0.9252,0.8488
i9_g,0.9036,0.8605
