,train_acc,test_acc
i0_c0,0.6508,0.5296
i0_c1,0.648,0.5207
i0_c2,0.6616,0.5243
i0_c3,0.6492,0.5374
i0_g,0.6123,0.5715
i1_c0,0.7044,0.5782
i1_c1,0.6924,0.57
i1_c2,0.7036,0.5707
i1_c3,0.694,0.5901
i1_g,0.6662,0.619
i2_c0,0.7348,0.6124
i2_c1,0.72,0.6038
i2_c2,0.7328,0.5996
i2_c3,0.7256,0.6212
i2_g,0.699,0.6501
i3_c0,0.7648,0.6371
i3_c1,0.74,0.6326
i3_c2,0.7508,0.6251
i3_c3,0.7472,0.6439
i3_g,0.7194,0.6796
i4_c0,0.7772,0.6546
i4_c1,0.7596,0.6483
i4_c2,0.7636,0.6444
i4_c3,0.7608,0.6644
i4_g,0.7371,0.6941
i5_c0,0.7924,0.6724
i5_c1,0.7748,0.6658
i5_c2,0.7796,0.6653
i5_c3,0.7736,0.6822
i5_g,0.7556,0.7118
i6_c0,0.806,0.687
i6_c1,0.7916,0.6803
i6_c2,0.7924,0.6784
i6_c3,0.7852,0.6967
i6_g,0.7687,0.7256
i7_c0,0.814,0.6981
i7_c1,0.802,0.6915
i7_c2,0.8028,0.6918
i7_c3,0.7944,0.706
i7_g,0.7801,0.7363
i8_c0,0.824,0.7105
i8_c1,0.8096,0.7015
i8_c2,0.816,0.7046
i8_c3,0.8036,0.718
i8_g,0.7887,0.7448
i9_c0,0.8328,0.7201
i9_c1,0.816,0.7138
i9_c2,0.8252,0.7118
i9_c3,0.81,0.7256
i9_g,0.7948,0.7536
