,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.9808,0.5919,0.8304,0.5687
i0_c1,0.9888,0.5718,0.8416,0.532
i0_c2,0.9824,0.562,0.8528,0.5432
i0_c3,0.9696,0.5955,0.8432,0.5636
i0_c4,0.9824,0.587,0.8608,0.5575
i0_c5,0.9872,0.5803,0.8368,0.5505
i0_c6,0.9904,0.5582,0.848,0.5315
i0_c7,0.9792,0.5885,0.8576,0.5499
i0_c8,0.9664,0.5803,0.8272,0.5431
i0_c9,0.9728,0.57,0.8512,0.5397
i0_c10,0.9872,0.5452,0.832,0.5109
i0_c11,0.9808,0.5938,0.8448,0.551
i0_c12,0.9936,0.5861,0.8576,0.5521
i0_c13,0.9808,0.5735,0.808,0.5328
i0_c14,0.9712,0.597,0.808,0.5522
i0_c15,0.9792,0.5677,0.8592,0.5309
i0_g,0.7621,0.7318,,
i1_c0,0.9824,0.624,0.888,0.5784
i1_c1,0.9904,0.6079,0.8512,0.5633
i1_c2,0.9968,0.5911,0.8816,0.5632
i1_c3,0.9824,0.6353,0.8448,0.5932
i1_c4,0.9952,0.6184,0.8656,0.575
i1_c5,0.9936,0.6113,0.88,0.588
i1_c6,0.9936,0.5975,0.8864,0.5702
i1_c7,0.9872,0.6274,0.8592,0.5973
i1_c8,0.9856,0.6126,0.864,0.5757
i1_c9,0.9856,0.6017,0.8416,0.574
i1_c10,0.9968,0.5861,0.8992,0.565
i1_c11,0.984,0.625,0.8464,0.5756
i1_c12,0.9952,0.6268,0.8752,0.5922
i1_c13,0.992,0.6038,0.8864,0.5697
i1_c14,0.9776,0.6326,0.8512,0.5827
i1_c15,0.9904,0.6025,0.8272,0.5594
i1_g,0.7959,0.7644,,
i2_c0,0.9952,0.6472,0.8704,0.5979
i2_c1,0.9984,0.6231,0.9168,0.6001
i2_c2,0.9968,0.6136,0.8944,0.5661
i2_c3,0.9904,0.6468,0.9008,0.6117
i2_c4,0.9904,0.636,0.896,0.6028
i2_c5,0.9936,0.6283,0.8656,0.5833
i2_c6,0.9984,0.6154,0.8928,0.5935
i2_c7,0.9904,0.6454,0.9024,0.6051
i2_c8,0.9872,0.6249,0.8864,0.5923
i2_c9,0.9856,0.6255,0.8672,0.6044
i2_c10,0.9984,0.6069,0.8992,0.5854
i2_c11,0.9888,0.6331,0.8592,0.5961
i2_c12,0.9952,0.6393,0.8736,0.5967
i2_c13,0.9984,0.6212,0.8784,0.588
i2_c14,0.9888,0.6499,0.8752,0.6151
i2_c15,0.9936,0.619,0.888,0.5901
i2_g,0.806,0.7794,,
i3_c0,0.9952,0.6575,0.864,0.6187
i3_c1,0.9968,0.628,0.9056,0.6019
i3_c2,1.0,0.6266,0.912,0.5958
i3_c3,0.992,0.6547,0.8768,0.6247
i3_c4,0.9904,0.6438,0.8688,0.6139
i3_c5,0.992,0.6379,0.8912,0.6035
i3_c6,0.9984,0.6224,0.904,0.5927
i3_c7,0.992,0.6481,0.8864,0.6152
i3_c8,0.9872,0.6337,0.8704,0.6077
i3_c9,0.9936,0.6264,0.8528,0.5914
i3_c10,0.9984,0.6207,0.8992,0.5753
i3_c11,0.9952,0.6464,0.8784,0.6092
i3_c12,0.9952,0.6466,0.8944,0.6108
i3_c13,0.9936,0.629,0.8816,0.5907
i3_c14,0.992,0.6581,0.8704,0.6226
i3_c15,0.9952,0.6316,0.8832,0.5933
i3_g,0.8172,0.7836,,
i4_c0,0.9984,0.6607,0.88,0.6164
i4_c1,0.9968,0.6381,0.9056,0.61
i4_c2,1.0,0.6372,0.9248,0.6048
i4_c3,0.992,0.6626,0.856,0.6071
