,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,1.0,0.1991,0.42628205128205127,0.035
i0_c1,1.0,0.1824,0.4230769230769231,0.0346
i0_c2,1.0,0.1701,0.40705128205128205,0.0277
i0_c3,1.0,0.1825,0.47115384615384615,0.0286
i0_c4,1.0,0.1872,0.36217948717948717,0.0291
i0_c5,1.0,0.1816,0.3173076923076923,0.0304
i0_c6,1.0,0.1843,0.42628205128205127,0.0347
i0_c7,1.0,0.1812,0.2724358974358974,0.0252
i0_c8,1.0,0.1831,0.4230769230769231,0.0358
i0_c9,1.0,0.1815,0.3557692307692308,0.0257
i0_c10,1.0,0.1932,0.3557692307692308,0.0351
i0_c11,1.0,0.1775,0.3717948717948718,0.0327
i0_c12,1.0,0.1811,0.34615384615384615,0.0272
i0_c13,1.0,0.1851,0.3717948717948718,0.0246
i0_c14,1.0,0.184,0.2564102564102564,0.0169
i0_c15,1.0,0.1905,0.4166666666666667,0.0294
i0_c16,1.0,0.188,0.4166666666666667,0.032
i0_c17,1.0,0.1896,0.4519230769230769,0.0313
i0_c18,1.0,0.189,0.38782051282051283,0.0293
i0_c19,1.0,0.1899,0.4583333333333333,0.0381
i0_c20,1.0,0.1885,0.3076923076923077,0.0304
i0_c21,1.0,0.1728,0.41025641025641024,0.0229
i0_c22,1.0,0.1885,0.4166666666666667,0.0371
i0_c23,1.0,0.1887,0.3333333333333333,0.0278
i0_c24,1.0,0.1728,0.32051282051282054,0.0345
i0_c25,1.0,0.1874,0.3269230769230769,0.0281
i0_c26,1.0,0.1801,0.44871794871794873,0.0501
i0_c27,1.0,0.1892,0.3269230769230769,0.0266
i0_c28,1.0,0.1779,0.3557692307692308,0.0403
i0_c29,1.0,0.1766,0.41346153846153844,0.0317
i0_c30,1.0,0.2009,0.4358974358974359,0.0325
i0_c31,1.0,0.1869,0.40384615384615385,0.0271
i0_g,0.2814,0.2014,,
i1_c0,1.0,0.2646,0.42628205128205127,0.0561
i1_c1,1.0,0.2439,0.4423076923076923,0.051
i1_c2,1.0,0.2291,0.5256410256410257,0.0588
i1_c3,1.0,0.2429,0.4519230769230769,0.0586
i1_c4,1.0,0.2527,0.41346153846153844,0.0648
i1_c5,1.0,0.2415,0.42628205128205127,0.0487
i1_c6,1.0,0.2449,0.4166666666666667,0.0539
i1_c7,1.0,0.2527,0.48717948717948717,0.055
i1_c8,1.0,0.2354,0.33653846153846156,0.047
i1_c9,1.0,0.2428,0.4583333333333333,0.0547
i1_c10,1.0,0.2502,0.42948717948717946,0.0366
i1_c11,1.0,0.2292,0.391025641025641,0.0488
i1_c12,1.0,0.2367,0.33974358974358976,0.0369
i1_c13,1.0,0.2444,0.4198717948717949,0.0512
i1_c14,1.0,0.2471,0.4358974358974359,0.0512
i1_c15,1.0,0.2527,0.38782051282051283,0.0416
i1_c16,1.0,0.2571,0.36538461538461536,0.0415
i1_c17,1.0,0.2592,0.4519230769230769,0.0481
i1_c18,1.0,0.2475,0.3685897435897436,0.0536
i1_c19,1.0,0.2487,0.391025641025641,0.0402
i1_c20,1.0,0.2502,0.4326923076923077,0.0506
i1_c21,1.0,0.2507,0.266025641025641,0.0337
i1_c22,1.0,0.2511,0.4583333333333333,0.0593
i1_c23,1.0,0.2452,0.36538461538461536,0.0378
i1_c24,1.0,0.2418,0.44551282051282054,0.0419
i1_c25,1.0,0.2476,0.40384615384615385,0.0631
i1_c26,1.0,0.2438,0.42628205128205127,0.0444
i1_c27,1.0,0.2452,0.3685897435897436,0.0443
i1_c28,1.0,0.2433,0.38782051282051283,0.0535
i1_c29,1.0,0.2394,0.42948717948717946,0.049
i1_c30,1.0,0.2597,0.42948717948717946,0.0509
i1_c31,1.0,0.25,0.375,0.0486
i1_g,0.3764,0.2538,,
i2_c0,1.0,0.2922,0.38461538461538464,0.055
i2_c1,1.0,0.2757,0.4230769230769231,0.0634
i2_c2,1.0,0.2579,0.4230769230769231,0.0525
i2_c3,1.0,0.279,0.34294871794871795,0.0475
i2_c4,1.0,0.2785,0.4230769230769231,0.0614
i2_c5,1.0,0.2765,0.38782051282051283,0.0549
i2_c6,1.0,0.2764,0.44871794871794873,0.0656
i2_c7,1.0,0.2861,0.4326923076923077,0.0629
i2_c8,1.0,0.2701,0.36217948717948717,0.0566
i2_c9,1.0,0.2778,0.40705128205128205,0.0465
i2_c10,1.0,0.2828,0.5128205128205128,0.0774
i2_c11,1.0,0.2612,0.40064102564102566,0.0541
i2_c12,1.0,0.266,0.375,0.0503
i2_c13,1.0,0.2708,0.4551282051282051,0.0561
i2_c14,1.0,0.2782,0.4967948717948718,0.074
i2_c15,1.0,0.2827,0.4358974358974359,0.0667
i2_c16,1.0,0.2893,0.3301282051282051,0.0503
