,train_acc,test_acc
i0_c0,0.844,0.777
i0_c1,0.842,0.7729
i0_g,0.8395,0.8002
i1_c0,0.8678,0.8014
i1_c1,0.8594,0.7888
i1_g,0.8602,0.8247
i2_c0,0.8852,0.8007
i2_c1,0.8722,0.8076
i2_g,0.8644,0.8305
i3_c0,0.8832,0.8116
i3_c1,0.8792,0.811
i3_g,0.8729,0.8355
i4_c0,0.8872,0.8117
i4_c1,0.884,0.8106
i4_g,0.8761,0.8328
i5_c0,0.891,0.8129
i5_c1,0.8842,0.8149
i5_g,0.8757,0.8375
i6_c0,0.8892,0.8152
i6_c1,0.8872,0.82
i6_g,0.8807,0.8401
i7_c0,0.895,0.8183
i7_c1,0.8876,0.8217
i7_g,0.8812,0.8455
i8_c0,0.8972,0.824
i8_c1,0.89,0.8208
i8_g,0.8847,0.8404
i9_c0,0.8976,0.8203
i9_c1,0.8936,0.8208
i9_g,0.8825,0.8377
