,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.9232,0.7821,0.4672,0.436
i0_c1,0.914,0.7768,0.4444,0.3991
i0_c2,0.8936,0.7761,0.45,0.4234
i0_c3,0.8988,0.7843,0.4328,0.4272
i0_g,0.5729,0.542,,
i1_c0,0.9164,0.7844,0.5168,0.4812
i1_c1,0.9248,0.7852,0.49,0.4646
i1_c2,0.9052,0.7846,0.4312,0.4239
i1_c3,0.8988,0.7898,0.47,0.4477
i1_g,0.594,0.5838,,
i2_c0,0.92,0.7941,0.4484,0.4394
i2_c1,0.914,0.7794,0.4864,0.4577
i2_c2,0.8996,0.779,0.4556,0.4365
i2_c3,0.9088,0.7952,0.4496,0.4429
i2_g,0.5909,0.5816,,
i3_c0,0.9308,0.7918,0.4604,0.4332
i3_c1,0.9272,0.7838,0.416,0.4159
i3_c2,0.906,0.7846,0.4992,0.4674
i3_c3,0.9156,0.7946,0.4532,0.4488
i3_g,0.5776,0.5757,,
i4_c0,0.9244,0.7892,0.454,0.4337
i4_c1,0.9228,0.7776,0.474,0.4568
i4_c2,0.9116,0.785,0.4612,0.4524
i4_c3,0.9052,0.7929,0.478,0.4599
i4_g,0.6122,0.6028,,
