,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,1.0,0.3384,1.0,0.3352
i0_c1,1.0,0.3266,1.0,0.3242
i0_c2,1.0,0.3462,1.0,0.3422
i0_c3,1.0,0.3277,1.0,0.3255
i0_c4,1.0,0.339,1.0,0.3342
i0_c5,1.0,0.3293,1.0,0.3306
i0_c6,1.0,0.3322,1.0,0.3355
i0_c7,1.0,0.3358,1.0,0.334
i0_g,0.7894,0.5149,,
i1_c0,1.0,0.4443,1.0,0.4393
i1_c1,1.0,0.4447,1.0,0.4419
i1_c2,1.0,0.4575,1.0,0.4527
i1_c3,1.0,0.4489,1.0,0.4475
i1_c4,1.0,0.4556,1.0,0.4556
i1_c5,1.0,0.4463,1.0,0.4404
i1_c6,1.0,0.4458,1.0,0.4479
i1_c7,1.0,0.4539,1.0,0.4474
i1_g,0.8918,0.5539,,
i2_c0,1.0,0.4866,1.0,0.4849
i2_c1,1.0,0.491,1.0,0.489
i2_c2,1.0,0.4925,1.0,0.4938
i2_c3,1.0,0.4893,1.0,0.4881
i2_c4,1.0,0.4996,1.0,0.496
i2_c5,1.0,0.4896,1.0,0.4862
i2_c6,1.0,0.4919,1.0,0.4948
i2_c7,1.0,0.4969,1.0,0.4932
i2_g,0.9271,0.5615,,
i3_c0,1.0,0.5063,1.0,0.5033
i3_c1,1.0,0.5104,1.0,0.5088
i3_c2,1.0,0.5132,1.0,0.5135
i3_c3,1.0,0.5069,1.0,0.5005
i3_c4,1.0,0.5175,1.0,0.5203
i3_c5,1.0,0.5117,1.0,0.5053
i3_c6,1.0,0.5089,1.0,0.5086
i3_c7,1.0,0.5168,1.0,0.5135
i3_g,0.9467,0.5607,,
i4_c0,1.0,0.5158,1.0,0.5169
i4_c1,1.0,0.5204,1.0,0.5165
i4_c2,1.0,0.525,1.0,0.5238
i4_c3,1.0,0.5191,1.0,0.5148
i4_c4,1.0,0.5254,1.0,0.5249
i4_c5,1.0,0.5208,1.0,0.5193
i4_c6,1.0,0.5173,1.0,0.5188
i4_c7,1.0,0.5233,1.0,0.5213
i4_g,0.96,0.5594,,
i5_c0,1.0,0.5217,1.0,0.5235
i5_c1,1.0,0.5254,1.0,0.5224
i5_c2,1.0,0.5301,1.0,0.5296
i5_c3,1.0,0.524,1.0,0.5201
i5_c4,1.0,0.533,1.0,0.5303
i5_c5,1.0,0.5225,1.0,0.5202
i5_c6,1.0,0.5241,1.0,0.5235
i5_c7,1.0,0.5293,1.0,0.527
i5_g,0.9703,0.5576,,
i6_c0,1.0,0.5249,1.0,0.5223
i6_c1,1.0,0.5251,1.0,0.523
i6_c2,1.0,0.5323,1.0,0.5294
i6_c3,1.0,0.5262,1.0,0.5277
i6_c4,1.0,0.5334,1.0,0.5309
i6_c5,1.0,0.5269,1.0,0.5235
i6_c6,1.0,0.5248,1.0,0.524
i6_c7,1.0,0.5314,1.0,0.5292
i6_g,0.9752,0.556,,
i7_c0,1.0,0.5247,1.0,0.5221
i7_c1,1.0,0.5286,1.0,0.5294
i7_c2,1.0,0.5333,1.0,0.5319
i7_c3,1.0,0.5278,1.0,0.5233
i7_c4,1.0,0.5324,1.0,0.5314
i7_c5,1.0,0.5295,1.0,0.526
i7_c6,1.0,0.5273,1.0,0.5246
i7_c7,1.0,0.5289,1.0,0.5289
i7_g,0.9811,0.5523,,
i8_c0,1.0,0.5273,1.0,0.5265
i8_c1,1.0,0.5296,1.0,0.5269
i8_c2,1.0,0.534,1.0,0.5338
i8_c3,1.0,0.5304,1.0,0.5281
i8_c4,1.0,0.5326,1.0,0.5336
i8_c5,1.0,0.5298,1.0,0.5295
i8_c6,1.0,0.5283,1.0,0.5246
i8_c7,1.0,0.5293,1.0,0.5278
i8_g,0.9852,0.5527,,
i9_c0,1.0,0.5255,1.0,0.524
i9_c1,1.0,0.5287,1.0,0.5265
i9_c2,1.0,0.5304,1.0,0.5323
i9_c3,1.0,0.5277,1.0,0.5298
i9_c4,1.0,0.5308,1.0,0.5289
i9_c5,1.0,0.5286,1.0,0.53
i9_c6,1.0,0.5254,1.0,0.526
i9_c7,1.0,0.5319,1.0,0.5274
i9_g,0.9887,0.5499,,
