,0,1
i0_c0,0.192,0.0812
i0_c1,0.1792,0.0615
i0_c2,0.3008,0.1099
i0_c3,0.208,0.0772
i0_c4,0.2536,0.0724
i0_c5,0.1296,0.0659
i0_c6,0.196,0.0648
i0_c7,0.2416,0.074
i0_g,0.0799,0.0647
i1_c0,0.22,0.0979
i1_c1,0.1608,0.0565
i1_c2,0.2528,0.0942
i1_c3,0.2704,0.1011
i1_c4,0.3104,0.1029
i1_c5,0.2056,0.0808
i1_c6,0.224,0.0766
i1_c7,0.3056,0.0955
i1_g,0.0879,0.0741
i2_c0,0.208,0.0893
i2_c1,0.1776,0.059
i2_c2,0.2296,0.0896
i2_c3,0.2296,0.0953
i2_c4,0.2952,0.097
i2_c5,0.1864,0.0811
i2_c6,0.1984,0.0635
i2_c7,0.2656,0.0862
i2_g,0.0845,0.0701
i3_c0,0.204,0.0812
i3_c1,0.1624,0.0568
i3_c2,0.2744,0.1095
i3_c3,0.2128,0.0953
i3_c4,0.2912,0.0959
i3_c5,0.1848,0.0716
i3_c6,0.2032,0.0717
i3_c7,0.2704,0.0848
i3_g,0.0837,0.0676
i4_c0,0.212,0.0822
i4_c1,0.1688,0.0614
i4_c2,0.3056,0.1171
i4_c3,0.268,0.1081
i4_c4,0.2752,0.0958
i4_c5,0.164,0.0703
i4_c6,0.1496,0.058
i4_c7,0.2368,0.0735
i4_g,0.0817,0.069
