,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.914,0.7825,0.9136,0.7823
i0_c1,0.9068,0.7814,0.9068,0.7811
i0_c2,0.8992,0.7778,0.8968,0.7783
i0_c3,0.9108,0.7889,0.9108,0.7878
i0_g,0.8672,0.8375,,
i1_c0,0.92,0.7813,0.9192,0.7806
i1_c1,0.9172,0.7847,0.9184,0.7845
i1_c2,0.9052,0.7862,0.9044,0.7858
i1_c3,0.908,0.7857,0.9072,0.7859
i1_g,0.879,0.8407,,
i2_c0,0.9304,0.7901,0.9304,0.789
i2_c1,0.9116,0.7808,0.91,0.7798
i2_c2,0.9112,0.7864,0.9124,0.7854
i2_c3,0.9096,0.7895,0.9112,0.7898
i2_g,0.8779,0.8422,,
i3_c0,0.92,0.7827,0.9212,0.7833
i3_c1,0.9164,0.7782,0.9152,0.7781
i3_c2,0.91,0.7847,0.9076,0.7845
i3_c3,0.9012,0.7858,0.8988,0.7861
i3_g,0.8793,0.8408,,
i4_c0,0.9308,0.7925,0.9296,0.7917
i4_c1,0.9112,0.7885,0.9108,0.7888
i4_c2,0.9132,0.792,0.912,0.7917
i4_c3,0.906,0.7925,0.9056,0.7924
i4_g,0.879,0.842,,
