,0,1
i0_c0,0.0312,0.0225
i0_c1,0.036,0.0225
i0_c2,0.0312,0.0229
i0_c3,0.028,0.0225
i0_c4,0.0248,0.0183
i0_c5,0.0304,0.0247
i0_c6,0.0376,0.0225
i0_c7,0.0256,0.0225
i0_g,0.0293,0.0225
i1_c0,0.044,0.0294
i1_c1,0.0568,0.0417
i1_c2,0.0336,0.0261
i1_c3,0.0272,0.025
i1_c4,0.0424,0.0401
i1_c5,0.0328,0.0225
i1_c6,0.0376,0.0225
i1_c7,0.0536,0.0411
i1_g,0.0293,0.0225
i2_c0,0.0312,0.0225
i2_c1,0.036,0.0225
i2_c2,0.04,0.0239
i2_c3,0.028,0.025
i2_c4,0.0432,0.0255
i2_c5,0.0304,0.0247
i2_c6,0.0376,0.0225
i2_c7,0.0376,0.0252
i2_g,0.0293,0.0225
i3_c0,0.0536,0.0334
i3_c1,0.036,0.0225
i3_c2,0.0264,0.0196
i3_c3,0.028,0.0225
i3_c4,0.032,0.0266
i3_c5,0.0208,0.012
i3_c6,0.0376,0.0225
i3_c7,0.0192,0.025
i3_g,0.0293,0.0225
i4_c0,0.0544,0.034
i4_c1,0.036,0.0225
i4_c2,0.0232,0.025
i4_c3,0.0344,0.025
i4_c4,0.02,0.0247
i4_c5,0.0344,0.0229
i4_c6,0.0376,0.0225
i4_c7,0.0424,0.0373
i4_g,0.0293,0.0225
