,train_acc,test_acc
i0_c0,0.2592,0.239
i0_c1,0.2384,0.2121
i0_c2,0.2656,0.2026
i0_c3,0.2272,0.2062
i0_c4,0.2384,0.2075
i0_c5,0.2304,0.1872
i0_c6,0.1968,0.1986
i0_c7,0.2272,0.1702
i0_c8,0.2192,0.1702
i0_c9,0.192,0.1989
i0_c10,0.1872,0.1966
i0_c11,0.208,0.2169
i0_c12,0.216,0.2253
i0_c13,0.2288,0.2206
i0_c14,0.1968,0.173
i0_c15,0.1872,0.2179
i0_g,0.3531,0.3469
i1_c0,0.232,0.2334
i1_c1,0.1872,0.2002
i1_c2,0.2352,0.2352
i1_c3,0.2016,0.2142
i1_c4,0.2256,0.2464
i1_c5,0.2512,0.2286
i1_c6,0.3312,0.2598
i1_c7,0.2448,0.2107
i1_c8,0.24,0.2293
i1_c9,0.2496,0.2272
i1_c10,0.272,0.2314
i1_c11,0.2192,0.2051
i1_c12,0.2144,0.2197
i1_c13,0.2384,0.2146
i1_c14,0.2544,0.2484
i1_c15,0.2688,0.2673
i1_g,0.3623,0.353
i2_c0,0.32,0.2738
i2_c1,0.2224,0.239
i2_c2,0.28,0.2617
i2_c3,0.3296,0.2753
i2_c4,0.2704,0.2604
i2_c5,0.2496,0.257
i2_c6,0.2624,0.2426
i2_c7,0.2464,0.2273
i2_c8,0.2496,0.2333
i2_c9,0.3232,0.2556
i2_c10,0.2848,0.2429
i2_c11,0.2832,0.2572
i2_c12,0.3056,0.2697
i2_c13,0.3184,0.2581
i2_c14,0.2688,0.2401
i2_c15,0.2544,0.2443
i2_g,0.4001,0.3843
i3_c0,0.288,0.2508
i3_c1,0.2672,0.252
i3_c2,0.2656,0.2666
i3_c3,0.3072,0.2573
i3_c4,0.2768,0.2532
i3_c5,0.2736,0.2551
i3_c6,0.312,0.2568
i3_c7,0.2736,0.2557
i3_c8,0.3088,0.2675
i3_c9,0.2944,0.2646
i3_c10,0.3104,0.2691
i3_c11,0.2704,0.2462
i3_c12,0.312,0.2789
i3_c13,0.2736,0.2657
i3_c14,0.2336,0.2184
i3_c15,0.3024,0.2802
i3_g,0.3934,0.3865
i4_c0,0.32,0.2907
i4_c1,0.2736,0.2585
i4_c2,0.2912,0.2761
i4_c3,0.2816,0.2646
i4_c4,0.28,0.2658
i4_c5,0.2752,0.268
i4_c6,0.3072,0.2918
i4_c7,0.2944,0.259
i4_c8,0.2624,0.2511
i4_c9,0.3072,0.2617
i4_c10,0.2688,0.2598
i4_c11,0.248,0.2516
i4_c12,0.3072,0.2766
i4_c13,0.3248,0.2933
i4_c14,0.2544,0.2536
i4_c15,0.2704,0.266
i4_g,0.4059,0.393
i5_c0,0.3232,0.2956
i5_c1,0.3056,0.2702
i5_c2,0.2608,0.2549
i5_c3,0.328,0.3078
i5_c4,0.2944,0.2728
i5_c5,0.272,0.2668
i5_c6,0.2976,0.2583
i5_c7,0.288,0.2628
i5_c8,0.3248,0.2982
i5_c9,0.3264,0.2896
i5_c10,0.3136,0.2647
i5_c11,0.3232,0.2957
i5_c12,0.3024,0.2792
i5_c13,0.3136,0.3035
i5_c14,0.2864,0.274
i5_c15,0.328,0.2774
i5_g,0.4152,0.4095
i6_c0,0.3104,0.2804
i6_c1,0.3296,0.3109
i6_c2,0.3168,0.2669
i6_c3,0.3264,0.2927
i6_c4,0.3088,0.2941
i6_c5,0.3296,0.3064
i6_c6,0.272,0.2746
i6_c7,0.3136,0.2726
i6_c8,0.2944,0.2817
i6_c9,0.3056,0.2921
i6_c10,0.304,0.2791
i6_c11,0.2752,0.2679
i6_c12,0.288,0.2737
i6_c13,0.3504,0.2995
i6_c14,0.3088,0.295
i6_c15,0.2944,0.3018
i6_g,0.4215,0.4122
i7_c0,0.28,0.278
i7_c1,0.3088,0.2838
i7_c2,0.3296,0.3089
i7_c3,0.2928,0.3058
i7_c4,0.296,0.2873
i7_c5,0.3296,0.2926
i7_c6,0.3248,0.2909
i7_c7,0.3088,0.29
i7_c8,0.3072,0.3091
i7_c9,0.3488,0.3226
i7_c10,0.3216,0.3027
i7_c11,0.3632,0.32
i7_c12,0.296,0.3067
i7_c13,0.3088,0.2807
i7_c14,0.3184,0.322
i7_c15,0.296,0.2768
i7_g,0.4295,0.4188
i8_c0,0.3744,0.3191
i8_c1,0.3056,0.2975
i8_c2,0.3536,0.3175
i8_c3,0.3504,0.3079
i8_c4,0.3648,0.3095
i8_c5,0.3152,0.3134
i8_c6,0.3616,0.3132
i8_c7,0.2992,0.2955
i8_c8,0.352,0.3094
i8_c9,0.3552,0.3094
i8_c10,0.344,0.3067
i8_c11,0.3248,0.3147
i8_c12,0.3152,0.303
i8_c13,0.3488,0.2959
i8_c14,0.2976,0.3015
i8_c15,0.3568,0.328
i8_g,0.4426,0.4307
i9_c0,0.3392,0.3169
i9_c1,0.3088,0.3179
i9_c2,0.3216,0.3113
i9_c3,0.328,0.2894
i9_c4,0.2816,0.2919
i9_c5,0.3712,0.3555
i9_c6,0.3536,0.3069
i9_c7,0.3568,0.3195
i9_c8,0.3376,0.3098
i9_c9,0.3024,0.29
i9_c10,0.344,0.3026
i9_c11,0.368,0.312
i9_c12,0.3632,0.3269
i9_c13,0.36,0.3247
i9_c14,0.3504,0.3284
i9_c15,0.344,0.3184
i9_g,0.4522,0.4327
