,train_acc,test_acc
i0_c0,0.7368,0.6074
i0_c1,0.7268,0.6009
i0_c2,0.738,0.5959
i0_c3,0.734,0.6216
i0_g,0.6928,0.6502
i1_c0,0.8,0.6654
i1_c1,0.788,0.6516
i1_c2,0.7808,0.6526
i1_c3,0.778,0.6764
i1_g,0.7465,0.7036
i2_c0,0.8228,0.6916
i2_c1,0.8124,0.6838
i2_c2,0.8188,0.6907
i2_c3,0.8072,0.7037
i2_g,0.7789,0.7386
i3_c0,0.8516,0.72
i3_c1,0.8372,0.7111
i3_c2,0.8352,0.7126
i3_c3,0.8244,0.7246
i3_g,0.8001,0.7636
i4_c0,0.8628,0.7303
i4_c1,0.842,0.7231
i4_c2,0.846,0.7278
i4_c3,0.8344,0.7381
i4_g,0.8129,0.773
i5_c0,0.8744,0.7445
i5_c1,0.8552,0.7381
i5_c2,0.8608,0.7433
i5_c3,0.8444,0.7524
i5_g,0.8222,0.781
i6_c0,0.8792,0.7548
i6_c1,0.866,0.7491
i6_c2,0.8688,0.7518
i6_c3,0.8536,0.758
i6_g,0.8317,0.789
i7_c0,0.8828,0.7656
i7_c1,0.8744,0.7492
i7_c2,0.8704,0.7552
i7_c3,0.8612,0.7652
i7_g,0.8386,0.7973
i8_c0,0.8976,0.7703
i8_c1,0.8808,0.7621
i8_c2,0.8728,0.7689
i8_c3,0.868,0.7751
i8_g,0.8461,0.8041
i9_c0,0.8912,0.7745
i9_c1,0.884,0.7664
i9_c2,0.8804,0.7679
i9_c3,0.8728,0.7797
i9_g,0.8511,0.8077
