,train_acc,test_acc
i0_c0,0.9086,0.8247
i0_c1,0.903,0.831
i0_g,0.8908,0.8487
i1_c0,0.9144,0.8281
i1_c1,0.9118,0.8351
i1_g,0.8949,0.8533
i2_c0,0.9146,0.8311
i2_c1,0.9122,0.8387
i2_g,0.8965,0.8558
i3_c0,0.9194,0.8332
i3_c1,0.9158,0.8304
i3_g,0.8947,0.8529
i4_c0,0.9254,0.8333
i4_c1,0.9158,0.8376
i4_g,0.8966,0.8534
i5_c0,0.9226,0.8356
i5_c1,0.918,0.8365
i5_g,0.8959,0.8535
i6_c0,0.9248,0.8344
i6_c1,0.9116,0.8401
i6_g,0.8997,0.8556
i7_c0,0.924,0.8368
i7_c1,0.9182,0.8378
i7_g,0.8998,0.8567
i8_c0,0.9192,0.8319
i8_c1,0.9192,0.8418
i8_g,0.8973,0.8553
i9_c0,0.9202,0.8337
i9_c1,0.9158,0.8397
i9_g,0.8984,0.8561
