,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.7968,0.7461,0.1488,0.1396
i0_c1,0.7742,0.7227,0.143,0.1409
i0_g,0.1554,0.1429,,
i1_c0,0.3738,0.3231,0.2224,0.2166
i1_c1,0.3584,0.332,0.228,0.2227
i1_g,0.2585,0.244,,
i2_c0,0.3904,0.3477,0.2672,0.2625
i2_c1,0.3806,0.3408,0.2806,0.2678
i2_g,0.3033,0.2961,,
i3_c0,0.389,0.36,0.244,0.2349
i3_c1,0.387,0.3613,0.288,0.2721
i3_g,0.2779,0.2705,,
i4_c0,0.3852,0.358,0.2786,0.2687
i4_c1,0.3842,0.3606,0.2884,0.2897
i4_g,0.3198,0.3072,,
i5_c0,0.4048,0.3751,0.3034,0.2975
i5_c1,0.4008,0.3758,0.2924,0.2806
i5_g,0.3314,0.317,,
i6_c0,0.404,0.3793,0.3126,0.2996
i6_c1,0.4086,0.3791,0.2818,0.2774
i6_g,0.3154,0.3038,,
i7_c0,0.4138,0.4012,0.34,0.344
i7_c1,0.4332,0.3997,0.332,0.3223
i7_g,0.3651,0.3609,,
i8_c0,0.4176,0.4071,0.333,0.3244
i8_c1,0.4274,0.4011,0.35,0.3442
i8_g,0.3655,0.3559,,
i9_c0,0.4154,0.4042,0.332,0.3192
i9_c1,0.4262,0.4051,0.354,0.3424
i9_g,0.3759,0.3579,,
