,train_acc,test_acc
i0_c0,0.8848,0.1794
i0_c1,0.8816,0.1558
i0_c2,0.888,0.1717
i0_c3,0.9168,0.1676
i0_c4,0.9216,0.1818
i0_c5,0.912,0.1772
i0_c6,0.8512,0.1544
i0_c7,0.9072,0.2003
i0_c8,0.9328,0.1994
i0_c9,0.9056,0.1851
i0_c10,0.8896,0.1714
i0_c11,0.8736,0.158
i0_c12,0.8656,0.152
i0_c13,0.8832,0.1801
i0_c14,0.8912,0.1749
i0_c15,0.9264,0.1916
i0_g,0.2873,0.2182
i1_c0,0.9504,0.2708
i1_c1,0.9296,0.2478
i1_c2,0.9264,0.248
i1_c3,0.9536,0.2748
i1_c4,0.9456,0.271
i1_c5,0.9632,0.2697
i1_c6,0.936,0.24
i1_c7,0.9488,0.2744
i1_c8,0.9632,0.3015
i1_c9,0.9408,0.2751
i1_c10,0.9408,0.2752
i1_c11,0.9264,0.2441
i1_c12,0.9312,0.2457
i1_c13,0.944,0.2631
i1_c14,0.944,0.2672
i1_c15,0.968,0.2837
i1_g,0.484,0.3359
i2_c0,0.9696,0.3268
i2_c1,0.9504,0.3104
i2_c2,0.968,0.2966
i2_c3,0.9712,0.3324
i2_c4,0.9632,0.3185
i2_c5,0.976,0.3265
i2_c6,0.9664,0.3055
i2_c7,0.9632,0.3379
i2_c8,0.9808,0.3675
i2_c9,0.9584,0.3185
i2_c10,0.9504,0.3301
i2_c11,0.9536,0.315
i2_c12,0.9568,0.3098
i2_c13,0.968,0.3187
i2_c14,0.9696,0.3296
i2_c15,0.984,0.3413
i2_g,0.6008,0.4056
i3_c0,0.9856,0.3783
i3_c1,0.9696,0.3591
i3_c2,0.976,0.357
i3_c3,0.9808,0.3716
i3_c4,0.984,0.3671
i3_c5,0.9824,0.3777
i3_c6,0.9792,0.3501
i3_c7,0.976,0.3834
i3_c8,0.9856,0.4005
i3_c9,0.9632,0.367
i3_c10,0.976,0.3768
i3_c11,0.9776,0.3554
i3_c12,0.976,0.3636
i3_c13,0.9808,0.3625
i3_c14,0.9776,0.3656
i3_c15,0.9888,0.3871
i3_g,0.6845,0.4532
i4_c0,0.9952,0.414
i4_c1,0.9808,0.397
i4_c2,0.9888,0.389
i4_c3,0.984,0.4116
i4_c4,0.9888,0.4089
i4_c5,0.9856,0.4153
i4_c6,0.9856,0.3882
i4_c7,0.9776,0.4144
i4_c8,0.9968,0.43
i4_c9,0.9888,0.4057
i4_c10,0.9856,0.4112
i4_c11,0.984,0.3913
i4_c12,0.9824,0.3934
i4_c13,0.9888,0.4026
i4_c14,0.9824,0.3994
i4_c15,0.9888,0.4218
i4_g,0.746,0.4878
i5_c0,0.9904,0.4309
