,train_acc,test_acc
i0_c0,0.2296,0.2263
i0_c1,0.2602,0.2398
i0_g,0.2761,0.2667
i1_c0,0.2832,0.2643
i1_c1,0.2644,0.2599
i1_g,0.3059,0.283
i2_c0,0.2884,0.2769
i2_c1,0.2984,0.2944
i2_g,0.3222,0.3163
i3_c0,0.2808,0.2713
i3_c1,0.2818,0.2773
i3_g,0.2969,0.2918
i4_c0,0.292,0.2927
i4_c1,0.2876,0.2835
i4_g,0.315,0.3097
i5_c0,0.3288,0.3198
i5_c1,0.3,0.2858
i5_g,0.334,0.325
i6_c0,0.3132,0.3093
i6_c1,0.3292,0.3176
i6_g,0.3412,0.3345
i7_c0,0.3268,0.3158
i7_c1,0.32,0.3158
i7_g,0.3412,0.3303
i8_c0,0.3584,0.3385
i8_c1,0.3308,0.3242
i8_g,0.356,0.3525
i9_c0,0.3432,0.3307
i9_c1,0.3296,0.3231
i9_g,0.3561,0.3526
