,train_acc,test_acc
i0_c0,0.619,0.5504
i0_c1,0.6276,0.5472
i0_g,0.613,0.5692
i1_c0,0.6764,0.5993
i1_c1,0.678,0.5975
i1_g,0.6645,0.6182
i2_c0,0.708,0.6337
i2_c1,0.715,0.635
i2_g,0.6997,0.6545
i3_c0,0.7284,0.6612
i3_c1,0.7348,0.6584
i3_g,0.7224,0.6793
i4_c0,0.7506,0.6817
i4_c1,0.7544,0.6819
i4_g,0.7433,0.7024
i5_c0,0.7652,0.6974
i5_c1,0.7696,0.6998
i5_g,0.7586,0.7147
i6_c0,0.7734,0.7132
i6_c1,0.7836,0.7173
i6_g,0.7695,0.7291
i7_c0,0.7856,0.7223
i7_c1,0.7922,0.7275
i7_g,0.7794,0.7385
i8_c0,0.801,0.7301
i8_c1,0.7962,0.7344
i8_g,0.7889,0.7479
i9_c0,0.8044,0.7386
i9_c1,0.8028,0.7406
i9_g,0.7958,0.7547
