,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.9744,0.5886,0.1376,0.153
i0_c1,0.9872,0.5726,0.1568,0.1497
i0_c2,0.9856,0.5634,0.1312,0.1429
i0_c3,0.9696,0.5954,0.1488,0.1497
i0_c4,0.9856,0.5842,0.128,0.1312
i0_c5,0.9824,0.5754,0.136,0.1398
i0_c6,0.9904,0.5578,0.1472,0.157
i0_c7,0.9744,0.583,0.1088,0.1141
i0_c8,0.9808,0.5812,0.1536,0.1224
i0_c9,0.9776,0.5703,0.0976,0.1264
i0_c10,0.9872,0.5419,0.1728,0.1686
i0_c11,0.9728,0.5941,0.1568,0.1377
i0_c12,0.9872,0.5927,0.1536,0.1476
i0_c13,0.9824,0.5702,0.1888,0.1854
i0_c14,0.9664,0.6004,0.1424,0.131
i0_c15,0.9728,0.5664,0.1408,0.1297
i0_g,0.147,0.1519,,
i1_c0,0.2256,0.1958,0.1616,0.172
i1_c1,0.2112,0.1868,0.1568,0.1492
i1_c2,0.2224,0.1919,0.1776,0.1341
i1_c3,0.2096,0.1943,0.1008,0.1069
i1_c4,0.2176,0.1959,0.1568,0.1505
i1_c5,0.2048,0.186,0.1552,0.1453
i1_c6,0.1936,0.1957,0.16,0.157
i1_c7,0.1872,0.1905,0.144,0.1455
i1_c8,0.232,0.1918,0.1232,0.1145
i1_c9,0.2112,0.1945,0.1712,0.174
i1_c10,0.2272,0.1906,0.1056,0.1292
i1_c11,0.1952,0.1975,0.1392,0.1485
i1_c12,0.1872,0.1936,0.1552,0.1454
i1_c13,0.2208,0.1928,0.1648,0.1646
i1_c14,0.2032,0.1937,0.1472,0.164
i1_c15,0.2368,0.1925,0.1152,0.1255
i1_g,0.1614,0.1619,,
i2_c0,0.2128,0.1975,0.1568,0.1432
i2_c1,0.2304,0.1951,0.1568,0.1502
i2_c2,0.2112,0.1978,0.1888,0.1698
i2_c3,0.208,0.1961,0.1232,0.1314
i2_c4,0.1888,0.1967,0.1376,0.1448
i2_c5,0.2256,0.1963,0.1776,0.1568
i2_c6,0.1872,0.197,0.1744,0.1483
i2_c7,0.2208,0.1934,0.184,0.1718
i2_c8,0.2112,0.1952,0.1088,0.1139
i2_c9,0.2384,0.1995,0.1008,0.1232
i2_c10,0.224,0.1928,0.1664,0.1572
i2_c11,0.208,0.1966,0.1984,0.1581
i2_c12,0.2016,0.196,0.1328,0.1416
i2_c13,0.2176,0.1913,0.1792,0.1847
i2_c14,0.2208,0.1992,0.184,0.187
i2_c15,0.1968,0.198,0.168,0.1636
i2_g,0.1661,0.1639,,
i3_c0,0.2336,0.1959,0.1776,0.1688
i3_c1,0.224,0.1931,0.1824,0.1649
i3_c2,0.2256,0.1988,0.1696,0.169
i3_c3,0.1968,0.198,0.1376,0.1364
i3_c4,0.1968,0.1912,0.1712,0.1576
i3_c5,0.2288,0.1954,0.2064,0.1738
i3_c6,0.24,0.1964,0.1712,0.1635
i3_c7,0.2064,0.1935,0.1488,0.1448
i3_c8,0.2368,0.1906,0.1616,0.1531
i3_c9,0.2064,0.1977,0.1664,0.1619
i3_c10,0.2496,0.1997,0.1344,0.1509
i3_c11,0.2352,0.1979,0.2032,0.1731
i3_c12,0.2096,0.1992,0.0992,0.1468
i3_c13,0.2288,0.1946,0.1472,0.1672
i3_c14,0.1984,0.1985,0.1504,0.1384
i3_c15,0.208,0.193,0.1472,0.1464
i3_g,0.1785,0.1802,,
i4_c0,0.2496,0.2112,0.16,0.1455
i4_c1,0.2208,0.2046,0.16,0.1683
i4_c2,0.2368,0.211,0.176,0.1762
i4_c3,0.2208,0.2068,0.1664,0.1688
i4_c4,0.2128,0.2112,0.1648,0.1666
