,train_acc,test_acc
i0_c0,0.7924,0.6638
i0_c1,0.76,0.6483
i0_c2,0.7636,0.6496
i0_c3,0.756,0.6702
i0_g,0.7645,0.7328
i1_c0,0.8176,0.6935
i1_c1,0.812,0.6933
i1_c2,0.796,0.6879
i1_c3,0.8096,0.6989
i1_g,0.8021,0.7675
i2_c0,0.8308,0.7158
i2_c1,0.8348,0.7137
i2_c2,0.82,0.7028
i2_c3,0.8268,0.7247
i2_g,0.823,0.7886
i3_c0,0.8416,0.7327
i3_c1,0.8428,0.7186
i3_c2,0.8368,0.7122
i3_c3,0.8348,0.736
i3_g,0.8283,0.7927
i4_c0,0.8532,0.7237
i4_c1,0.846,0.7225
i4_c2,0.8512,0.7449
i4_c3,0.8348,0.7455
i4_g,0.8382,0.8062
i5_c0,0.86,0.7386
i5_c1,0.8508,0.735
i5_c2,0.8384,0.7299
i5_c3,0.8444,0.7474
i5_g,0.8411,0.8045
i6_c0,0.8596,0.7405
i6_c1,0.848,0.7498
i6_c2,0.846,0.7403
i6_c3,0.85,0.7449
i6_g,0.8451,0.8117
i7_c0,0.868,0.7506
i7_c1,0.8564,0.743
i7_c2,0.8596,0.7566
i7_c3,0.858,0.759
i7_g,0.8489,0.8174
i8_c0,0.876,0.7536
i8_c1,0.8604,0.7555
i8_c2,0.8564,0.761
i8_c3,0.8556,0.7598
i8_g,0.8528,0.8193
i9_c0,0.8716,0.7532
i9_c1,0.8668,0.7586
i9_c2,0.8604,0.7559
i9_c3,0.8552,0.7524
i9_g,0.855,0.8179
