,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,1.0,0.1945,1.0,0.1678
i0_c1,1.0,0.1739,1.0,0.1609
i0_c2,1.0,0.1694,1.0,0.1346
i0_c3,1.0,0.1795,1.0,0.1596
i0_c4,1.0,0.1826,1.0,0.1489
i0_c5,1.0,0.173,1.0,0.1547
i0_c6,1.0,0.1783,1.0,0.1608
i0_c7,1.0,0.1806,1.0,0.1392
i0_c8,1.0,0.1743,1.0,0.1391
i0_c9,1.0,0.176,1.0,0.1554
i0_c10,1.0,0.197,1.0,0.1727
i0_c11,1.0,0.1751,1.0,0.1534
i0_c12,1.0,0.175,1.0,0.147
i0_c13,1.0,0.1719,1.0,0.1657
i0_c14,1.0,0.1834,1.0,0.1546
i0_c15,1.0,0.1894,1.0,0.1606
i0_c16,1.0,0.186,1.0,0.1612
i0_c17,1.0,0.1926,1.0,0.1585
i0_c18,1.0,0.1843,1.0,0.1514
i0_c19,1.0,0.189,1.0,0.161
i0_c20,1.0,0.1767,1.0,0.1484
i0_c21,1.0,0.1668,1.0,0.157
i0_c22,1.0,0.1866,1.0,0.169
i0_c23,1.0,0.182,1.0,0.1702
i0_c24,1.0,0.163,1.0,0.156
i0_c25,1.0,0.1754,1.0,0.1421
i0_c26,1.0,0.1762,1.0,0.1605
i0_c27,1.0,0.1861,1.0,0.1642
i0_c28,1.0,0.1692,1.0,0.1506
i0_c29,1.0,0.1796,1.0,0.1568
i0_c30,1.0,0.1955,1.0,0.1692
i0_c31,1.0,0.1822,1.0,0.1494
i0_g,0.3838,0.2752,,
i1_c0,1.0,0.2844,1.0,0.2549
i1_c1,1.0,0.2682,1.0,0.2308
i1_c2,1.0,0.2398,1.0,0.2114
i1_c3,1.0,0.2707,1.0,0.2613
i1_c4,1.0,0.2712,1.0,0.2346
i1_c5,1.0,0.254,1.0,0.226
i1_c6,1.0,0.2646,1.0,0.2423
i1_c7,1.0,0.2685,1.0,0.2324
i1_c8,1.0,0.2617,1.0,0.2321
i1_c9,1.0,0.2532,1.0,0.2187
i1_c10,1.0,0.2782,1.0,0.2407
i1_c11,1.0,0.2487,1.0,0.2238
i1_c12,1.0,0.2553,1.0,0.2359
i1_c13,1.0,0.2559,1.0,0.2276
i1_c14,1.0,0.2718,1.0,0.2167
i1_c15,1.0,0.276,1.0,0.2411
i1_c16,1.0,0.2825,1.0,0.2473
i1_c17,1.0,0.2843,1.0,0.2316
i1_c18,1.0,0.2714,1.0,0.2373
i1_c19,1.0,0.2751,1.0,0.2362
i1_c20,1.0,0.2803,1.0,0.2335
i1_c21,1.0,0.2671,1.0,0.2447
i1_c22,1.0,0.2595,1.0,0.2191
i1_c23,1.0,0.2656,1.0,0.2209
i1_c24,1.0,0.2518,1.0,0.2244
i1_c25,1.0,0.2697,1.0,0.2407
i1_c26,1.0,0.2574,1.0,0.2244
i1_c27,1.0,0.2636,1.0,0.2377
i1_c28,1.0,0.2647,1.0,0.2377
i1_c29,1.0,0.2558,1.0,0.213
i1_c30,1.0,0.2924,1.0,0.2514
i1_c31,1.0,0.2721,1.0,0.2334
i1_g,0.563,0.3887,,
i2_c0,1.0,0.3465,1.0,0.2886
i2_c1,1.0,0.3282,1.0,0.2791
i2_c2,1.0,0.302,1.0,0.2696
i2_c3,1.0,0.3256,1.0,0.3094
i2_c4,1.0,0.3284,1.0,0.2919
i2_c5,1.0,0.3172,1.0,0.3013
i2_c6,1.0,0.3268,1.0,0.3002
i2_c7,1.0,0.3423,1.0,0.2917
i2_c8,1.0,0.3139,1.0,0.278
i2_c9,1.0,0.3164,1.0,0.2763
i2_c10,1.0,0.3379,1.0,0.3075
i2_c11,1.0,0.3024,1.0,0.2813
i2_c12,1.0,0.31,1.0,0.2693
i2_c13,1.0,0.3014,1.0,0.2839
i2_c14,1.0,0.3354,1.0,0.2991
i2_c15,1.0,0.3335,1.0,0.2941
i2_c16,1.0,0.3466,1.0,0.3068
i2_c17,1.0,0.3488,1.0,0.3118
i2_c18,1.0,0.3295,1.0,0.2706
i2_c19,1.0,0.3315,1.0,0.2872
i2_c20,1.0,0.3489,1.0,0.2915
i2_c21,1.0,0.3334,1.0,0.2961
i2_c22,1.0,0.3245,1.0,0.2737
i2_c23,1.0,0.325,1.0,0.2901
i2_c24,1.0,0.3152,1.0,0.274
i2_c25,1.0,0.3306,1.0,0.2957
i2_c26,1.0,0.314,1.0,0.27
i2_c27,1.0,0.3238,1.0,0.2852
i2_c28,1.0,0.3384,1.0,0.2985
i2_c29,1.0,0.3151,1.0,0.2788
i2_c30,1.0,0.3482,1.0,0.2941
i2_c31,1.0,0.3273,1.0,0.3037
i2_g,0.6705,0.45,,
i3_c0,1.0,0.3851,1.0,0.341
i3_c1,1.0,0.3725,1.0,0.3384
i3_c2,1.0,0.3407,1.0,0.2999
i3_c3,1.0,0.3713,1.0,0.3375
i3_c4,1.0,0.3652,1.0,0.3239
i3_c5,1.0,0.3589,1.0,0.3118
i3_c6,1.0,0.3722,1.0,0.3184
i3_c7,1.0,0.3831,1.0,0.3261
i3_c8,1.0,0.3536,1.0,0.3359
i3_c9,1.0,0.3585,1.0,0.3112
i3_c10,1.0,0.3707,1.0,0.3398
i3_c11,1.0,0.3487,1.0,0.3114
i3_c12,1.0,0.3509,1.0,0.3058
i3_c13,1.0,0.3498,1.0,0.319
i3_c14,1.0,0.3736,1.0,0.3166
i3_c15,1.0,0.3674,1.0,0.3293
i3_c16,1.0,0.3868,1.0,0.3447
i3_c17,1.0,0.3886,1.0,0.3285
i3_c18,1.0,0.3682,1.0,0.3308
i3_c19,1.0,0.3702,1.0,0.3295
i3_c20,1.0,0.3926,1.0,0.342
i3_c21,1.0,0.3738,1.0,0.3387
i3_c22,1.0,0.362,1.0,0.3162
i3_c23,1.0,0.3666,1.0,0.3467
i3_c24,1.0,0.3644,1.0,0.3302
i3_c25,1.0,0.3642,1.0,0.3072
i3_c26,1.0,0.3613,1.0,0.3191
i3_c27,1.0,0.362,1.0,0.3211
i3_c28,1.0,0.3803,1.0,0.3217
i3_c29,1.0,0.3461,1.0,0.3022
i3_c30,1.0,0.3858,1.0,0.3455
i3_c31,1.0,0.3667,1.0,0.3238
i3_g,0.7238,0.4776,,
i4_c0,1.0,0.4141,1.0,0.3751
i4_c1,1.0,0.4021,1.0,0.364
i4_c2,1.0,0.3682,1.0,0.3537
i4_c3,1.0,0.4016,1.0,0.3522
i4_c4,1.0,0.3946,1.0,0.3501
i4_c5,1.0,0.3844,1.0,0.3505
i4_c6,1.0,0.3979,1.0,0.3568
i4_c7,1.0,0.4129,1.0,0.371
i4_c8,1.0,0.3853,1.0,0.3463
