,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.796,0.7351,0.7916,0.7275
i0_c1,0.7904,0.7332,0.7826,0.7261
i0_g,0.7989,0.7639,,
i1_c0,0.8304,0.7697,0.8304,0.7699
i1_c1,0.8202,0.7518,0.8116,0.7457
i1_g,0.8293,0.7941,,
i2_c0,0.8566,0.7867,0.8528,0.7857
i2_c1,0.8314,0.79,0.8304,0.7864
i2_g,0.8491,0.8156,,
i3_c0,0.8656,0.7982,0.8634,0.7916
i3_c1,0.8558,0.7981,0.8502,0.7946
i3_g,0.8585,0.8237,,
i4_c0,0.8646,0.7956,0.8646,0.795
i4_c1,0.8598,0.8067,0.8604,0.8039
i4_g,0.8653,0.8271,,
i5_c0,0.8638,0.809,0.8618,0.806
i5_c1,0.8818,0.8178,0.8726,0.8168
i5_g,0.869,0.8347,,
i6_c0,0.8784,0.8083,0.874,0.8063
i6_c1,0.8734,0.8108,0.8736,0.8097
i6_g,0.8785,0.8381,,
i7_c0,0.8778,0.812,0.879,0.8108
i7_c1,0.8752,0.8189,0.8776,0.8187
i7_g,0.8776,0.8377,,
i8_c0,0.887,0.8176,0.8834,0.8132
i8_c1,0.8688,0.82,0.8662,0.8202
i8_g,0.8788,0.8431,,
i9_c0,0.8952,0.8253,0.89,0.8245
i9_c1,0.8892,0.8233,0.8878,0.8223
i9_g,0.8837,0.846,,
