,train_acc,test_acc
i0_c0,0.184,0.1644
i0_c1,0.192,0.189
i0_c2,0.1512,0.1644
i0_c3,0.1672,0.1702
i0_c4,0.1456,0.1452
i0_c5,0.2256,0.1939
i0_c6,0.1648,0.1389
i0_c7,0.176,0.1799
i0_g,0.2071,0.2085
i1_c0,0.2048,0.1842
i1_c1,0.1688,0.1717
i1_c2,0.1936,0.1955
i1_c3,0.216,0.2006
i1_c4,0.2272,0.1927
i1_c5,0.1664,0.1718
i1_c6,0.18,0.1902
i1_c7,0.1936,0.1851
i1_g,0.2525,0.2407
i2_c0,0.228,0.2165
i2_c1,0.2072,0.1992
i2_c2,0.2264,0.2016
i2_c3,0.2552,0.2392
i2_c4,0.1896,0.1738
i2_c5,0.2032,0.1902
i2_c6,0.1736,0.1925
i2_c7,0.1968,0.2149
i2_g,0.268,0.2495
i3_c0,0.2288,0.2008
i3_c1,0.2216,0.2098
i3_c2,0.2112,0.2027
i3_c3,0.272,0.2459
i3_c4,0.2352,0.1962
i3_c5,0.2304,0.2191
i3_c6,0.2624,0.2304
i3_c7,0.1872,0.1874
i3_g,0.2837,0.2714
i4_c0,0.2352,0.2514
i4_c1,0.236,0.2314
i4_c2,0.2384,0.2482
i4_c3,0.2544,0.2283
i4_c4,0.2176,0.2313
i4_c5,0.2112,0.1896
i4_c6,0.2264,0.2218
i4_c7,0.2176,0.2175
i4_g,0.2923,0.2797
i5_c0,0.2456,0.2423
i5_c1,0.2336,0.235
i5_c2,0.1784,0.1812
i5_c3,0.2392,0.2316
i5_c4,0.236,0.2298
i5_c5,0.2432,0.2443
i5_c6,0.2648,0.2481
i5_c7,0.188,0.2146
i5_g,0.2801,0.2679
i6_c0,0.2136,0.2053
i6_c1,0.2544,0.2575
i6_c2,0.2208,0.2352
i6_c3,0.2488,0.2226
i6_c4,0.2352,0.2445
i6_c5,0.2304,0.2191
i6_c6,0.2328,0.2283
i6_c7,0.2232,0.2273
i6_g,0.2806,0.2776
i7_c0,0.2488,0.2588
i7_c1,0.2024,0.2018
i7_c2,0.2544,0.2567
i7_c3,0.2352,0.2205
i7_c4,0.2264,0.2241
i7_c5,0.2808,0.2701
i7_c6,0.2536,0.266
i7_c7,0.248,0.2445
i7_g,0.2889,0.2885
i8_c0,0.252,0.2525
i8_c1,0.2512,0.2439
i8_c2,0.2448,0.2503
i8_c3,0.2512,0.2326
i8_c4,0.2344,0.2261
i8_c5,0.248,0.2593
i8_c6,0.232,0.2398
i8_c7,0.2616,0.2501
i8_g,0.2918,0.2821
i9_c0,0.252,0.2384
i9_c1,0.3112,0.2729
i9_c2,0.2592,0.2541
i9_c3,0.2432,0.2387
i9_c4,0.2336,0.2375
i9_c5,0.228,0.22
i9_c6,0.2976,0.2624
i9_c7,0.2488,0.2591
i9_g,0.2999,0.2962
