,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.7932,0.7442,0.4668,0.4452
i0_c1,0.773,0.7202,0.436,0.4095
i0_g,0.5079,0.4878,,
i1_c0,0.814,0.7608,0.5058,0.4922
i1_c1,0.826,0.7693,0.505,0.4807
i1_g,0.5674,0.5453,,
i2_c0,0.8446,0.7835,0.56,0.5337
i2_c1,0.8338,0.7806,0.5526,0.5327
i2_g,0.6158,0.6032,,
i3_c0,0.8524,0.7881,0.523,0.5089
i3_c1,0.8584,0.7996,0.5508,0.5274
i3_g,0.6028,0.5834,,
i4_c0,0.8522,0.7854,0.5226,0.5115
i4_c1,0.8514,0.798,0.5634,0.5529
i4_g,0.6118,0.5994,,
i5_c0,0.8704,0.8048,0.554,0.5325
i5_c1,0.8538,0.8,0.5546,0.5383
i5_g,0.6344,0.617,,
i6_c0,0.866,0.7971,0.562,0.5416
i6_c1,0.8602,0.7971,0.5302,0.5164
i6_g,0.5924,0.5887,,
i7_c0,0.873,0.8128,0.5776,0.5696
i7_c1,0.8666,0.8059,0.5668,0.5614
i7_g,0.6481,0.6381,,
i8_c0,0.8818,0.8134,0.5634,0.5548
i8_c1,0.865,0.8049,0.57,0.5662
i8_g,0.6417,0.6287,,
i9_c0,0.8768,0.8034,0.6004,0.5667
i9_c1,0.8716,0.8095,0.5906,0.5746
i9_g,0.665,0.6509,,
