,train_acc,test_acc
i0_c0,0.6892,0.5582
i0_c1,0.6784,0.552
i0_c2,0.6876,0.5525
i0_c3,0.6848,0.568
i0_g,0.649,0.6053
i1_c0,0.744,0.6127
i1_c1,0.7288,0.6098
i1_c2,0.7456,0.6012
i1_c3,0.7332,0.6239
i1_g,0.7052,0.6636
i2_c0,0.7832,0.6462
i2_c1,0.76,0.6407
i2_c2,0.77,0.6373
i2_c3,0.7536,0.6557
i2_g,0.737,0.6934
i3_c0,0.7984,0.6647
i3_c1,0.7792,0.6634
i3_c2,0.7888,0.6643
i3_c3,0.7832,0.6836
i3_g,0.7599,0.7172
i4_c0,0.8188,0.6888
i4_c1,0.8016,0.6846
i4_c2,0.8076,0.683
i4_c3,0.7948,0.7029
i4_g,0.7751,0.7343
i5_c0,0.8272,0.707
i5_c1,0.8128,0.7018
i5_c2,0.8176,0.6975
i5_c3,0.8132,0.7157
i5_g,0.7897,0.7482
i6_c0,0.8348,0.7166
i6_c1,0.8224,0.711
i6_c2,0.832,0.7103
i6_c3,0.8176,0.7239
i6_g,0.7985,0.7575
i7_c0,0.848,0.7263
i7_c1,0.8292,0.7169
i7_c2,0.8368,0.7227
i7_c3,0.8228,0.7349
i7_g,0.8048,0.7641
i8_c0,0.8528,0.7322
i8_c1,0.8376,0.727
i8_c2,0.8428,0.7305
i8_c3,0.8292,0.7416
i8_g,0.8117,0.77
i9_c0,0.862,0.7386
i9_c1,0.8436,0.7369
i9_c2,0.8456,0.7371
i9_c3,0.8332,0.7483
i9_g,0.8185,0.7752
