,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.7934,0.7296,0.7938,0.7286
i0_c1,0.7704,0.7138,0.769,0.7136
i0_g,0.8019,0.7635,,
i1_c0,0.818,0.7634,0.8184,0.7636
i1_c1,0.8292,0.7645,0.8284,0.764
i1_g,0.8325,0.7998,,
i2_c0,0.8534,0.7859,0.853,0.7854
i2_c1,0.8356,0.7795,0.8368,0.7792
i2_g,0.8496,0.8145,,
i3_c0,0.8536,0.7899,0.8534,0.789
i3_c1,0.8494,0.7921,0.8494,0.7939
i3_g,0.8528,0.8222,,
i4_c0,0.8516,0.7921,0.85,0.7915
i4_c1,0.8544,0.7885,0.853,0.7882
i4_g,0.8634,0.8285,,
i5_c0,0.867,0.7998,0.867,0.7993
i5_c1,0.8562,0.7914,0.8576,0.7904
i5_g,0.8631,0.8248,,
i6_c0,0.867,0.8001,0.8672,0.7989
i6_c1,0.8644,0.8007,0.864,0.801
i6_g,0.867,0.8279,,
i7_c0,0.8708,0.8048,0.8678,0.8043
i7_c1,0.8608,0.7993,0.8616,0.7984
i7_g,0.8676,0.8318,,
i8_c0,0.863,0.8033,0.8636,0.8039
i8_c1,0.8618,0.8095,0.8632,0.8105
i8_g,0.8695,0.8346,,
i9_c0,0.8784,0.8126,0.8782,0.8132
i9_c1,0.8694,0.8062,0.8676,0.8054
i9_g,0.8722,0.8354,,
