,train_acc,test_acc
i0_c0,0.6364,0.5227
i0_c1,0.6336,0.5087
i0_c2,0.6372,0.5113
i0_c3,0.6396,0.5286
i0_g,0.5949,0.5507
i1_c0,0.6884,0.5734
i1_c1,0.672,0.5588
i1_c2,0.69,0.5616
i1_c3,0.6836,0.582
i1_g,0.6453,0.6038
i2_c0,0.7192,0.6048
i2_c1,0.706,0.5929
i2_c2,0.722,0.5897
i2_c3,0.72,0.6118
i2_g,0.6819,0.6366
i3_c0,0.744,0.6241
i3_c1,0.728,0.617
i3_c2,0.744,0.6114
i3_c3,0.734,0.638
i3_g,0.7073,0.659
i4_c0,0.7668,0.6431
i4_c1,0.7464,0.6369
i4_c2,0.7572,0.6324
i4_c3,0.7476,0.6557
i4_g,0.7262,0.679
i5_c0,0.7848,0.6587
i5_c1,0.7604,0.6528
i5_c2,0.7668,0.652
i5_c3,0.7584,0.6691
i5_g,0.7386,0.6938
i6_c0,0.7924,0.6745
i6_c1,0.7724,0.6642
i6_c2,0.7836,0.6643
i6_c3,0.7768,0.6827
i6_g,0.7519,0.707
i7_c0,0.8068,0.6858
i7_c1,0.776,0.6759
i7_c2,0.7868,0.6788
i7_c3,0.7836,0.6975
i7_g,0.758,0.7178
i8_c0,0.8092,0.6967
i8_c1,0.7888,0.685
i8_c2,0.8032,0.6903
i8_c3,0.7892,0.7037
i8_g,0.7706,0.7317
i9_c0,0.814,0.704
i9_c1,0.8,0.694
i9_c2,0.81,0.6961
i9_c3,0.7968,0.7125
i9_g,0.7802,0.7376
