,0,1
i0_c0,1.0,0.3235
i0_c1,1.0,0.3172
i0_c2,1.0,0.3326
i0_c3,1.0,0.3109
i0_c4,1.0,0.3279
i0_c5,1.0,0.3091
i0_c6,1.0,0.3196
i0_c7,1.0,0.3222
i0_g,0.7575,0.4883
i1_c0,1.0,0.3235
i1_c1,1.0,0.3131
i1_c2,1.0,0.3359
i1_c3,1.0,0.3184
i1_c4,1.0,0.3251
i1_c5,1.0,0.3081
i1_c6,1.0,0.3185
i1_c7,1.0,0.3261
i1_g,0.7622,0.4898
i2_c0,1.0,0.314
i2_c1,1.0,0.3114
i2_c2,1.0,0.3346
i2_c3,1.0,0.3198
i2_c4,1.0,0.3247
i2_c5,1.0,0.3111
i2_c6,1.0,0.3186
i2_c7,1.0,0.3279
i2_g,0.7588,0.488
i3_c0,1.0,0.3195
i3_c1,1.0,0.3082
i3_c2,1.0,0.3347
i3_c3,1.0,0.3191
i3_c4,1.0,0.3247
i3_c5,1.0,0.3129
i3_c6,1.0,0.32
i3_c7,1.0,0.3219
i3_g,0.7617,0.4921
i4_c0,1.0,0.3196
i4_c1,1.0,0.3138
i4_c2,1.0,0.3375
i4_c3,1.0,0.3174
i4_c4,1.0,0.3292
i4_c5,1.0,0.312
i4_c6,1.0,0.3209
i4_c7,1.0,0.3248
i4_g,0.7578,0.4891
