,train_acc,test_acc,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i0_c0.npy,0.9664,0.5752,0,c0,0.6845333333333333,0.0038273866918419382,0.6219400766735347,0.001896018911441968,0.9415999999999999,0.030410524493997147
i0_c1.npy,0.9728,0.5624,0,c1,0.7137333333333333,0.006857275130999345,0.6434360283140729,0.0007884531845711488,0.9589333333333334,0.03458451805199675
i0_c2.npy,0.968,0.5637,0,c2,0.6846666666666668,0.0032795663669996614,0.6210454353158843,0.006989422737802503,0.9490666666666666,0.0244476765539977
i0_c3.npy,0.9472,0.5775,0,c3,0.6859999999999999,0.0034176014981270064,0.6248174290794974,0.0027805834049434612,0.9317333333333333,0.032445783838410965
i0_c4.npy,0.9664,0.5723,0,c4,0.7122666666666667,0.004070490005992992,0.6438833560195868,0.0015725962727893275,0.9501333333333332,0.02564024614199758
i0_c5.npy,0.9664,0.5614,0,c5,0.6991999999999999,0.0017888543819998416,0.6321970816137855,0.005567739147757101,0.9535999999999999,0.021466252583997973
i0_c6.npy,0.9664,0.5457,0,c6,0.7085333333333333,0.0034769079494414296,0.6411543948011136,0.0017850227892977834,0.9474666666666667,0.0244476765539977
i0_c7.npy,0.9568,0.5679,0,c7,0.6882666666666667,0.000596284793999928,0.6252708732399911,0.004130020422854892,0.9405333333333333,0.025640246141997575
i0_c8.npy,0.9424,0.5691,0,c8,0.6797333333333334,0.005962847939999445,0.6198145100238289,0.0003899961718483351,0.9298666666666667,0.033041926228488686
i0_c9.npy,0.944,0.5578,0,c9,0.7009333333333333,0.0032795663669997026,0.6375385034335173,0.0030647121420269516,0.9319999999999999,0.03041052449399714
i0_c10.npy,0.9712,0.5396,0,c10,0.7090666666666667,0.0029814239699997224,0.6383301158871,0.0020606427293845533,0.9650666666666666,0.0244476765539977
i0_c11.npy,0.952,0.5854,0,c11,0.6976,0.001788854381999842,0.6343769487546312,0.002973385575891115,0.9333333333333332,0.023851391759997734
i0_c12.npy,0.968,0.5702,0,c12,0.6977333333333332,0.0038758511609996637,0.6313922431560871,0.007097074189299449,0.9514666666666667,0.019805274269468938
i0_c13.npy,0.9552,0.5572,0,c13,0.7110666666666666,0.005664705542999464,0.6463055925954976,0.0009032669294943981,0.9325333333333332,0.029217954905997254
i0_c14.npy,0.9248,0.5824,0,c14,0.6690666666666667,0.0023851391759997613,0.6138672636073458,0.00642557858476498,0.9130666666666666,0.026236530935997496
i0_c15.npy,0.96,0.56,0,c15,0.6974666666666668,0.004962078417580895,0.6318229817865298,0.0011777495134074755,0.9466666666666667,0.029814239699997178
