,train_acc,test_acc
i0_c0,0.7968,0.7218
i0_c1,0.7894,0.7196
i0_g,0.7793,0.7421
i1_c0,0.8448,0.766
i1_c1,0.832,0.7648
i1_g,0.8294,0.7857
i2_c0,0.8662,0.79
i2_c1,0.8548,0.7863
i2_g,0.8453,0.805
i3_c0,0.8744,0.8021
i3_c1,0.8692,0.7984
i3_g,0.861,0.8193
i4_c0,0.879,0.8063
i4_c1,0.874,0.807
i4_g,0.8657,0.8261
i5_c0,0.883,0.811
i5_c1,0.8776,0.8117
i5_g,0.8681,0.8307
i6_c0,0.8852,0.8125
i6_c1,0.8768,0.8176
i6_g,0.871,0.8342
i7_c0,0.8896,0.8175
i7_c1,0.8824,0.8185
i7_g,0.8757,0.8339
i8_c0,0.8914,0.8185
i8_c1,0.887,0.8162
i8_g,0.8759,0.8363
i9_c0,0.8906,0.8226
i9_c1,0.8836,0.8182
i9_g,0.8765,0.837
