,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.9128,0.8352,0.1262,0.133
i0_c1,0.905,0.8347,0.1486,0.1549
i0_g,0.14,0.136,,
i1_c0,0.5868,0.5229,0.2188,0.2001
i1_c1,0.5778,0.519,0.2302,0.2265
i1_g,0.257,0.2488,,
i2_c0,0.6138,0.5454,0.2276,0.2197
i2_c1,0.6028,0.551,0.262,0.2463
i2_g,0.2764,0.2637,,
i3_c0,0.6124,0.5592,0.2986,0.2961
i3_c1,0.6036,0.5519,0.2806,0.2723
i3_g,0.3373,0.3313,,
i4_c0,0.631,0.5653,0.3162,0.3152
i4_c1,0.6186,0.5557,0.291,0.2848
i4_g,0.3349,0.331,,
i5_c0,0.6326,0.5694,0.335,0.3189
i5_c1,0.6156,0.5639,0.3336,0.3285
i5_g,0.3703,0.3682,,
i6_c0,0.6468,0.5932,0.3186,0.3277
i6_c1,0.631,0.5878,0.3282,0.3165
i6_g,0.3619,0.3614,,
i7_c0,0.656,0.5977,0.3594,0.353
i7_c1,0.6426,0.5856,0.378,0.3543
i7_g,0.3957,0.3913,,
i8_c0,0.6506,0.599,0.3532,0.3467
i8_c1,0.656,0.6077,0.3708,0.3616
i8_g,0.401,0.3924,,
i9_c0,0.6518,0.6,0.3714,0.3582
i9_c1,0.6542,0.5937,0.3862,0.3772
i9_g,0.4297,0.4119,,
