,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.916,0.7837,0.142,0.1528
i0_c1,0.9112,0.7735,0.1448,0.1497
i0_c2,0.898,0.7753,0.142,0.1429
i0_c3,0.8968,0.7883,0.1536,0.1495
i0_g,0.1292,0.1405,,
i1_c0,0.132,0.1419,0.1492,0.1423
i1_c1,0.1312,0.142,0.1264,0.1375
i1_c2,0.128,0.1419,0.1576,0.1672
i1_c3,0.1352,0.1421,0.1268,0.1226
i1_g,0.1425,0.1474,,
i2_c0,0.1412,0.1482,0.1204,0.1286
i2_c1,0.1504,0.1476,0.1084,0.1174
i2_c2,0.1392,0.1479,0.1604,0.1522
i2_c3,0.1416,0.1483,0.1412,0.1433
i2_g,0.1266,0.131,,
i3_c0,0.1328,0.1324,0.1468,0.15
i3_c1,0.1276,0.132,0.1684,0.1779
i3_c2,0.1296,0.1319,0.1252,0.1324
i3_c3,0.1228,0.1324,0.142,0.1418
i3_g,0.1485,0.1539,,
i4_c0,0.148,0.1544,0.1728,0.1723
i4_c1,0.1436,0.1542,0.1404,0.138
i4_c2,0.1548,0.1543,0.1252,0.1332
i4_c3,0.15,0.1544,0.1276,0.13
i4_g,0.1455,0.1466,,
i5_c0,0.1364,0.1474,0.1408,0.1459
i5_c1,0.1492,0.1474,0.136,0.1375
i5_c2,0.1512,0.1475,0.1348,0.1349
i5_c3,0.1468,0.1475,0.1252,0.1382
i5_g,0.1412,0.1414,,
i6_c0,0.1412,0.1424,0.1144,0.1269
i6_c1,0.134,0.1425,0.1512,0.1521
i6_c2,0.1528,0.1425,0.1348,0.1269
i6_c3,0.1384,0.1425,0.1388,0.1415
i6_g,0.1399,0.1357,,
i7_c0,0.1388,0.1362,0.1356,0.1379
i7_c1,0.1324,0.1365,0.1576,0.1552
i7_c2,0.1492,0.1365,0.1648,0.1508
i7_c3,0.1428,0.1364,0.1316,0.1282
i7_g,0.142,0.1424,,
i8_c0,0.1364,0.1427,0.1356,0.1396
i8_c1,0.1336,0.1428,0.1424,0.1395
i8_c2,0.1516,0.1428,0.1556,0.1559
i8_c3,0.148,0.1426,0.1168,0.1318
i8_g,0.1388,0.1402,,
i9_c0,0.1352,0.1403,0.1368,0.1361
i9_c1,0.1316,0.1403,0.1472,0.1442
i9_c2,0.1508,0.1403,0.1288,0.1386
i9_c3,0.142,0.1402,0.1492,0.1517
i9_g,0.1432,0.1445,,
