,train_acc,test_acc
i0_c0,0.8762,0.7956
i0_c1,0.8654,0.794
i0_g,0.852,0.814
i1_c0,0.8938,0.819
i1_c1,0.8904,0.8198
i1_g,0.8757,0.8364
i2_c0,0.9074,0.831
i2_c1,0.899,0.8274
i2_g,0.8844,0.8465
i3_c0,0.9104,0.8344
i3_c1,0.904,0.8369
i3_g,0.8885,0.8512
i4_c0,0.9134,0.8374
i4_c1,0.9086,0.8369
i4_g,0.8928,0.852
i5_c0,0.9186,0.8424
i5_c1,0.911,0.8417
i5_g,0.8975,0.8555
i6_c0,0.9198,0.8389
i6_c1,0.9126,0.8423
i6_g,0.8968,0.8563
i7_c0,0.9214,0.8424
i7_c1,0.9156,0.8422
i7_g,0.8971,0.8565
i8_c0,0.9208,0.8451
i8_c1,0.9158,0.8452
i8_g,0.8982,0.8588
i9_c0,0.9216,0.8425
i9_c1,0.9202,0.8474
i9_g,0.901,0.8585
