,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.8864,0.8159,0.3142,0.2965
i0_c1,0.872,0.8081,0.3158,0.3103
i0_g,0.3602,0.359,,
i1_c0,0.8868,0.8153,0.3156,0.3123
i1_c1,0.8738,0.8137,0.3354,0.3334
i1_g,0.3666,0.37,,
i2_c0,0.8786,0.8115,0.3046,0.3045
i2_c1,0.8692,0.8118,0.314,0.3175
i2_g,0.3616,0.3536,,
i3_c0,0.884,0.8075,0.3322,0.3268
i3_c1,0.8832,0.8165,0.2908,0.2904
i3_g,0.3578,0.3556,,
i4_c0,0.8834,0.8101,0.305,0.2965
i4_c1,0.8652,0.8082,0.3412,0.3401
i4_g,0.3761,0.3764,,
i5_c0,0.8864,0.812,0.3266,0.3309
i5_c1,0.8716,0.8147,0.3312,0.3313
i5_g,0.3639,0.3676,,
i6_c0,0.8894,0.8119,0.3356,0.3332
i6_c1,0.8784,0.8162,0.3342,0.3254
i6_g,0.378,0.3826,,
i7_c0,0.8782,0.8046,0.3298,0.3365
i7_c1,0.8772,0.81,0.3178,0.306
i7_g,0.3675,0.3699,,
i8_c0,0.8814,0.8065,0.3596,0.3532
i8_c1,0.878,0.8139,0.3348,0.3287
i8_g,0.41,0.3969,,
i9_c0,0.8832,0.8109,0.3636,0.3444
i9_c1,0.8838,0.8183,0.284,0.2817
i9_g,0.3747,0.3605,,
