,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.96,0.7122,0.268,0.2659
i0_c1,0.9488,0.7028,0.3448,0.3124
i0_c2,0.9528,0.7013,0.2968,0.2873
i0_c3,0.952,0.6977,0.3488,0.336
i0_c4,0.9368,0.7037,0.3192,0.3093
i0_c5,0.944,0.7174,0.3584,0.335
i0_c6,0.9448,0.7033,0.3504,0.3254
i0_c7,0.9408,0.7336,0.2728,0.2646
i0_g,0.4629,0.4594,,
i1_c0,0.9728,0.726,0.2856,0.2815
i1_c1,0.96,0.7191,0.3152,0.3032
i1_c2,0.9624,0.711,0.296,0.2973
i1_c3,0.9648,0.7156,0.316,0.3198
i1_c4,0.9464,0.7151,0.3,0.2918
i1_c5,0.9592,0.7207,0.3712,0.3361
i1_c6,0.9552,0.712,0.3352,0.2998
i1_c7,0.956,0.7463,0.292,0.2974
i1_g,0.4591,0.4534,,
i2_c0,0.976,0.7346,0.3392,0.3142
i2_c1,0.9696,0.7218,0.3232,0.3196
i2_c2,0.9672,0.7181,0.3544,0.3636
i2_c3,0.964,0.7169,0.3432,0.3461
i2_c4,0.952,0.7316,0.3488,0.3104
i2_c5,0.9592,0.7337,0.3584,0.3383
i2_c6,0.9576,0.7173,0.348,0.3256
i2_c7,0.9536,0.7476,0.348,0.3204
i2_g,0.5115,0.5221,,
i3_c0,0.98,0.7361,0.3208,0.324
i3_c1,0.9648,0.7252,0.3528,0.325
i3_c2,0.968,0.7199,0.3656,0.3463
i3_c3,0.9744,0.7149,0.38,0.3488
i3_c4,0.9496,0.7344,0.372,0.3564
i3_c5,0.9576,0.7299,0.3256,0.3089
i3_c6,0.9592,0.7154,0.3704,0.343
i3_c7,0.968,0.7509,0.3328,0.3247
i3_g,0.5154,0.4995,,
i4_c0,0.9792,0.7377,0.4008,0.3684
i4_c1,0.9664,0.7242,0.3664,0.3266
i4_c2,0.968,0.7233,0.3864,0.3434
i4_c3,0.9768,0.7219,0.3576,0.3243
i4_c4,0.956,0.7307,0.2984,0.2968
i4_c5,0.952,0.7337,0.3376,0.3304
i4_c6,0.9576,0.7229,0.344,0.3271
i4_c7,0.9704,0.7561,0.348,0.3436
i4_g,0.526,0.5218,,
i5_c0,0.9824,0.7334,0.3176,0.297
i5_c1,0.9608,0.7184,0.3584,0.3283
i5_c2,0.9696,0.7236,0.36,0.3414
i5_c3,0.9744,0.7198,0.3816,0.3362
i5_c4,0.9544,0.7355,0.344,0.3379
i5_c5,0.9624,0.7318,0.3168,0.3308
i5_c6,0.9696,0.718,0.3864,0.3712
i5_c7,0.968,0.754,0.356,0.3522
i5_g,0.5073,0.4967,,
i6_c0,0.9696,0.7355,0.3392,0.3241
i6_c1,0.964,0.7177,0.4208,0.3927
i6_c2,0.9696,0.7244,0.3848,0.3601
i6_c3,0.972,0.7193,0.3344,0.3241
i6_c4,0.9464,0.7338,0.3408,0.3204
i6_c5,0.9608,0.7345,0.3272,0.3382
i6_c6,0.9672,0.7279,0.3952,0.3544
i6_c7,0.9632,0.7558,0.3216,0.3203
i6_g,0.5095,0.5103,,
i7_c0,0.9768,0.7313,0.3816,0.3529
i7_c1,0.964,0.7245,0.3832,0.3695
i7_c2,0.968,0.7152,0.3496,0.3375
i7_c3,0.9712,0.7162,0.376,0.3547
i7_c4,0.9536,0.7294,0.3368,0.3121
i7_c5,0.9584,0.7306,0.3112,0.307
i7_c6,0.9568,0.723,0.3752,0.3523
i7_c7,0.9576,0.7573,0.3464,0.3366
i7_g,0.5371,0.5243,,
i8_c0,0.9728,0.7343,0.3664,0.3391
i8_c1,0.9656,0.7235,0.3168,0.2991
i8_c2,0.9696,0.7225,0.3472,0.3429
i8_c3,0.9736,0.7211,0.3448,0.3457
i8_c4,0.9504,0.7292,0.3824,0.3644
i8_c5,0.9608,0.7312,0.3632,0.352
i8_c6,0.96,0.7264,0.364,0.3549
i8_c7,0.968,0.763,0.3752,0.3553
i8_g,0.5273,0.5216,,
i9_c0,0.9824,0.7344,0.3184,0.3008
i9_c1,0.9632,0.7275,0.3432,0.3215
i9_c2,0.9664,0.7238,0.3536,0.3312
i9_c3,0.972,0.7191,0.3904,0.372
i9_c4,0.9568,0.7365,0.38,0.3591
i9_c5,0.9672,0.7354,0.3696,0.3676
i9_c6,0.9608,0.7277,0.3504,0.3479
i9_c7,0.9616,0.7538,0.34,0.3473
i9_g,0.5289,0.5206,,
