,train_acc,test_acc
i0_c0,0.8288,0.6855
i0_c1,0.8172,0.6824
i0_c2,0.8192,0.6815
i0_c3,0.8084,0.6955
i0_g,0.7694,0.7375
i1_c0,0.8724,0.7307
i1_c1,0.8672,0.7278
i1_c2,0.8644,0.7317
i1_c3,0.854,0.7469
i1_g,0.8144,0.7755
i2_c0,0.896,0.7535
i2_c1,0.88,0.7495
i2_c2,0.8804,0.752
i2_c3,0.8736,0.7614
i2_g,0.8377,0.7969
i3_c0,0.9028,0.7674
i3_c1,0.8928,0.7593
i3_c2,0.8916,0.7688
i3_c3,0.8908,0.773
i3_g,0.8507,0.8092
i4_c0,0.9108,0.7822
i4_c1,0.902,0.7725
i4_c2,0.9028,0.7748
i4_c3,0.8884,0.7809
i4_g,0.8598,0.8202
i5_c0,0.9148,0.7824
i5_c1,0.9072,0.7754
i5_c2,0.8972,0.7799
i5_c3,0.8996,0.7931
i5_g,0.8649,0.8276
i6_c0,0.9236,0.7854
i6_c1,0.906,0.7857
i6_c2,0.9068,0.7855
i6_c3,0.8996,0.7975
i6_g,0.8668,0.8257
i7_c0,0.924,0.791
i7_c1,0.9152,0.7828
i7_c2,0.9092,0.7878
i7_c3,0.9056,0.7962
i7_g,0.8681,0.8294
i8_c0,0.9176,0.7958
i8_c1,0.9184,0.7855
i8_c2,0.9132,0.7933
i8_c3,0.9096,0.8005
i8_g,0.8718,0.8339
i9_c0,0.9288,0.7969
i9_c1,0.914,0.7877
i9_c2,0.9052,0.7963
i9_c3,0.9144,0.8022
i9_g,0.8712,0.835
