,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.9176,0.7828,0.1428,0.1538
i0_c1,0.8984,0.7702,0.146,0.1506
i0_c2,0.9056,0.7776,0.142,0.1437
i0_c3,0.8984,0.7811,0.1544,0.1505
i0_g,0.1313,0.1419,,
i1_c0,0.472,0.401,0.1744,0.1641
i1_c1,0.4728,0.3942,0.17,0.1715
i1_c2,0.4736,0.3999,0.1996,0.1977
i1_c3,0.4628,0.3888,0.1568,0.1459
i1_g,0.2174,0.2173,,
i2_c0,0.4932,0.4318,0.1664,0.1677
i2_c1,0.4856,0.4208,0.1584,0.1677
i2_c2,0.5052,0.4203,0.2284,0.212
i2_c3,0.4796,0.4239,0.1876,0.1763
i2_g,0.2122,0.2107,,
i3_c0,0.5072,0.4279,0.1836,0.1894
i3_c1,0.5084,0.4311,0.2172,0.2268
i3_c2,0.5036,0.4247,0.176,0.1699
i3_c3,0.5096,0.4375,0.184,0.1782
i3_g,0.2229,0.2309,,
i4_c0,0.514,0.4267,0.2012,0.2012
i4_c1,0.49,0.4318,0.2028,0.198
i4_c2,0.5036,0.4264,0.1828,0.175
i4_c3,0.4932,0.4295,0.1396,0.14
i4_g,0.2095,0.2058,,
