,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.885,0.8052,0.144,0.1546
i0_c1,0.8726,0.8151,0.1502,0.1517
i0_g,0.1424,0.1522,,
i1_c0,0.531,0.4799,0.177,0.1846
i1_c1,0.5264,0.4742,0.1922,0.1943
i1_g,0.1937,0.1953,,
i2_c0,0.5542,0.4983,0.1954,0.1916
i2_c1,0.5526,0.4982,0.205,0.2035
i2_g,0.2093,0.2074,,
i3_c0,0.5822,0.5305,0.2288,0.231
i3_c1,0.571,0.5203,0.1892,0.1814
i3_g,0.2487,0.2604,,
i4_c0,0.5514,0.5084,0.1974,0.1987
i4_c1,0.5418,0.5068,0.2096,0.2014
i4_g,0.2115,0.2098,,
i5_c0,0.572,0.523,0.2438,0.2354
i5_c1,0.5718,0.526,0.2056,0.2037
i5_g,0.2552,0.2519,,
i6_c0,0.5806,0.5216,0.216,0.2154
i6_c1,0.5732,0.5288,0.2572,0.2508
i6_g,0.2643,0.2717,,
i7_c0,0.579,0.5421,0.1874,0.1996
i7_c1,0.5764,0.5394,0.2174,0.208
i7_g,0.2264,0.2373,,
i8_c0,0.564,0.5153,0.221,0.2198
i8_c1,0.5588,0.5067,0.2386,0.2195
i8_g,0.2539,0.2399,,
i9_c0,0.5768,0.5177,0.2206,0.2021
i9_c1,0.5674,0.5066,0.1598,0.1606
i9_g,0.2046,0.2036,,
