,train_acc,test_acc
i0_c0,0.2512,0.2196
i0_c1,0.2792,0.2396
i0_c2,0.2696,0.2311
i0_c3,0.256,0.2496
i0_c4,0.2592,0.2485
i0_c5,0.252,0.2565
i0_c6,0.2632,0.2346
i0_c7,0.2792,0.2438
i0_g,0.3667,0.3599
i1_c0,0.2776,0.2622
i1_c1,0.2888,0.2588
i1_c2,0.272,0.2551
i1_c3,0.3152,0.2814
i1_c4,0.2976,0.2641
i1_c5,0.3048,0.2934
i1_c6,0.3024,0.2763
i1_c7,0.304,0.2755
i1_g,0.3944,0.3888
i2_c0,0.3344,0.3101
i2_c1,0.3408,0.3069
i2_c2,0.3248,0.2944
i2_c3,0.3304,0.2926
i2_c4,0.3184,0.2881
i2_c5,0.3008,0.2843
i2_c6,0.2808,0.244
i2_c7,0.32,0.3058
i2_g,0.4222,0.4099
i3_c0,0.2744,0.2805
i3_c1,0.3688,0.3219
i3_c2,0.3288,0.3131
i3_c3,0.3232,0.3268
i3_c4,0.3616,0.3359
i3_c5,0.344,0.3153
i3_c6,0.356,0.312
i3_c7,0.316,0.2992
i3_g,0.4345,0.4234
i4_c0,0.3544,0.3437
i4_c1,0.3688,0.3124
i4_c2,0.316,0.3307
i4_c3,0.3264,0.324
i4_c4,0.3272,0.3222
i4_c5,0.3848,0.3487
i4_c6,0.3496,0.3146
i4_c7,0.3696,0.331
i4_g,0.4642,0.4571
i5_c0,0.384,0.3531
i5_c1,0.3728,0.3352
i5_c2,0.38,0.3493
i5_c3,0.3232,0.3049
i5_c4,0.3448,0.31
i5_c5,0.36,0.3394
i5_c6,0.344,0.3009
i5_c7,0.3544,0.3283
i5_g,0.4608,0.4502
i6_c0,0.3592,0.33
i6_c1,0.3824,0.3529
i6_c2,0.3592,0.3467
i6_c3,0.3672,0.3523
i6_c4,0.372,0.3393
i6_c5,0.4144,0.3804
i6_c6,0.364,0.3379
i6_c7,0.372,0.3511
i6_g,0.4723,0.4559
i7_c0,0.412,0.3602
i7_c1,0.3736,0.3556
i7_c2,0.3752,0.3364
i7_c3,0.3664,0.3376
i7_c4,0.3712,0.3486
i7_c5,0.408,0.3637
i7_c6,0.4232,0.3691
i7_c7,0.3528,0.3501
i7_g,0.4825,0.4689
i8_c0,0.3776,0.3391
i8_c1,0.4056,0.3671
i8_c2,0.3776,0.3297
i8_c3,0.4152,0.3965
i8_c4,0.3784,0.3616
i8_c5,0.3664,0.342
i8_c6,0.392,0.3619
i8_c7,0.3944,0.3664
i8_g,0.4728,0.4601
i9_c0,0.4,0.3791
i9_c1,0.4016,0.3655
i9_c2,0.3776,0.3448
i9_c3,0.372,0.3631
i9_c4,0.4176,0.372
i9_c5,0.3976,0.368
i9_c6,0.4072,0.3704
i9_c7,0.38,0.3696
i9_g,0.4938,0.4806
