,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,1.0,0.2014,0.11217948717948718,0.0193
i0_c1,1.0,0.1807,0.08012820512820513,0.0138
i0_c2,1.0,0.1727,0.10576923076923077,0.0228
i0_c3,1.0,0.1806,0.09294871794871795,0.0149
i0_c4,1.0,0.1882,0.09615384615384616,0.0174
i0_c5,1.0,0.1782,0.08974358974358974,0.0199
i0_c6,1.0,0.1849,0.10256410256410256,0.0279
i0_c7,1.0,0.1813,0.10576923076923077,0.0176
i0_c8,1.0,0.1795,0.13782051282051283,0.022
i0_c9,1.0,0.1823,0.125,0.0223
i0_c10,1.0,0.1939,0.10897435897435898,0.0173
i0_c11,1.0,0.1756,0.07692307692307693,0.0153
i0_c12,1.0,0.179,0.10576923076923077,0.0226
i0_c13,1.0,0.1835,0.09294871794871795,0.0178
i0_c14,1.0,0.1849,0.08653846153846154,0.0142
i0_c15,1.0,0.192,0.09615384615384616,0.0163
i0_c16,1.0,0.1884,0.0641025641025641,0.0136
i0_c17,1.0,0.1952,0.09294871794871795,0.0138
i0_c18,1.0,0.1838,0.15064102564102563,0.0162
i0_c19,1.0,0.1929,0.09935897435897435,0.0187
i0_c20,1.0,0.1861,0.09615384615384616,0.0166
i0_c21,1.0,0.1755,0.08974358974358974,0.0126
i0_c22,1.0,0.1842,0.11858974358974358,0.0173
i0_c23,1.0,0.1887,0.10897435897435898,0.0234
i0_c24,1.0,0.1747,0.11858974358974358,0.0219
i0_c25,1.0,0.1857,0.11538461538461539,0.0266
i0_c26,1.0,0.1825,0.11217948717948718,0.0157
i0_c27,1.0,0.1919,0.08653846153846154,0.0274
i0_c28,1.0,0.1781,0.13141025641025642,0.0148
i0_c29,1.0,0.1766,0.1346153846153846,0.0205
i0_c30,1.0,0.2026,0.10576923076923077,0.0154
i0_c31,1.0,0.189,0.07371794871794872,0.0178
i0_g,0.1039,0.0822,,
i1_c0,1.0,0.2014,0.15064102564102563,0.0279
i1_c1,1.0,0.1979,0.10576923076923077,0.024
i1_c2,1.0,0.1887,0.10576923076923077,0.0284
i1_c3,1.0,0.197,0.10576923076923077,0.0227
i1_c4,1.0,0.1947,0.08974358974358974,0.0235
i1_c5,1.0,0.1897,0.07692307692307693,0.0222
i1_c6,1.0,0.1948,0.1282051282051282,0.0227
i1_c7,1.0,0.191,0.10576923076923077,0.0287
i1_c8,1.0,0.1911,0.12179487179487179,0.0237
i1_c9,1.0,0.1974,0.11538461538461539,0.0224
i1_c10,1.0,0.1962,0.10576923076923077,0.0249
i1_c11,1.0,0.1864,0.125,0.0205
i1_c12,1.0,0.1836,0.10897435897435898,0.0225
i1_c13,1.0,0.1899,0.10576923076923077,0.0384
i1_c14,1.0,0.1952,0.10897435897435898,0.0231
i1_c15,1.0,0.1993,0.1282051282051282,0.0213
i1_c16,1.0,0.2006,0.1346153846153846,0.0197
i1_c17,1.0,0.1959,0.11217948717948718,0.0208
i1_c18,1.0,0.1945,0.11858974358974358,0.0268
i1_c19,1.0,0.1895,0.11858974358974358,0.0232
i1_c20,1.0,0.2056,0.09615384615384616,0.024
i1_c21,1.0,0.1944,0.09294871794871795,0.0271
i1_c22,1.0,0.1975,0.10897435897435898,0.0241
i1_c23,1.0,0.2041,0.09615384615384616,0.0269
i1_c24,1.0,0.1931,0.1346153846153846,0.0276
i1_c25,1.0,0.1973,0.13782051282051283,0.0217
i1_c26,1.0,0.192,0.11538461538461539,0.019
i1_c27,1.0,0.196,0.10256410256410256,0.0273
i1_c28,1.0,0.1886,0.08974358974358974,0.0254
i1_c29,1.0,0.1922,0.07692307692307693,0.0238
i1_c30,1.0,0.2005,0.09294871794871795,0.0228
