,train_acc,test_acc
i0_c0,0.6608,0.5333
i0_c1,0.6592,0.5252
i0_c2,0.6628,0.5281
i0_c3,0.6596,0.5497
i0_g,0.6204,0.5783
i1_c0,0.714,0.5884
i1_c1,0.6896,0.5792
i1_c2,0.7112,0.5771
i1_c3,0.7056,0.5965
i1_g,0.6723,0.6294
i2_c0,0.7432,0.6185
i2_c1,0.7304,0.6101
i2_c2,0.7408,0.6059
i2_c3,0.7304,0.6281
i2_g,0.7071,0.6642
i3_c0,0.77,0.6419
i3_c1,0.7512,0.6371
i3_c2,0.7648,0.6353
i3_c3,0.7596,0.6525
i3_g,0.7266,0.6837
i4_c0,0.792,0.6631
i4_c1,0.7664,0.6523
i4_c2,0.7724,0.6519
i4_c3,0.768,0.6736
i4_g,0.7455,0.7027
i5_c0,0.798,0.6738
i5_c1,0.7772,0.6704
i5_c2,0.79,0.6732
i5_c3,0.7836,0.6902
i5_g,0.7618,0.7176
i6_c0,0.808,0.6883
i6_c1,0.796,0.6827
i6_c2,0.8,0.6862
i6_c3,0.7888,0.6986
i6_g,0.7729,0.7292
i7_c0,0.8204,0.7029
i7_c1,0.804,0.6925
i7_c2,0.8084,0.6984
i7_c3,0.8012,0.7101
i7_g,0.783,0.7399
i8_c0,0.8284,0.7123
i8_c1,0.8068,0.7037
i8_c2,0.818,0.7085
i8_c3,0.8064,0.719
i8_g,0.7904,0.7499
i9_c0,0.8408,0.7196
i9_c1,0.8176,0.713
i9_c2,0.8212,0.7164
i9_c3,0.8132,0.7244
i9_g,0.797,0.7572
