,train_acc,test_acc
i0_c0,0.7312,0.654
i0_c1,0.7312,0.6568
i0_g,0.7228,0.6843
i1_c0,0.7942,0.723
i1_c1,0.7942,0.7209
i1_g,0.7843,0.7401
i2_c0,0.8272,0.7546
i2_c1,0.821,0.7535
i2_g,0.8121,0.7712
i3_c0,0.8466,0.7751
i3_c1,0.8398,0.7703
i3_g,0.831,0.7911
i4_c0,0.8544,0.7844
i4_c1,0.8516,0.7823
i4_g,0.8455,0.8023
i5_c0,0.8648,0.7981
i5_c1,0.8554,0.7926
i5_g,0.8551,0.8156
i6_c0,0.871,0.802
i6_c1,0.8668,0.8018
i6_g,0.861,0.8205
i7_c0,0.8734,0.8057
i7_c1,0.8724,0.8079
i7_g,0.8648,0.8226
i8_c0,0.879,0.8121
i8_c1,0.8738,0.8121
i8_g,0.8684,0.8291
i9_c0,0.8822,0.816
i9_c1,0.8752,0.8124
i9_g,0.8704,0.8325
