,0,1
i0_c0,0.988,0.3191
i0_c1,0.9912,0.3012
i0_c2,0.988,0.3277
i0_c3,0.992,0.3053
i0_c4,0.9912,0.324
i0_c5,0.9888,0.3044
i0_c6,0.9896,0.3093
i0_c7,0.9936,0.3294
i0_g,0.6385,0.4362
i1_c0,0.988,0.318
i1_c1,0.992,0.3035
i1_c2,0.9888,0.3245
i1_c3,0.9904,0.3057
i1_c4,0.992,0.3254
i1_c5,0.9904,0.3016
i1_c6,0.9872,0.3055
i1_c7,0.9928,0.3316
i1_g,0.6365,0.4339
i2_c0,0.9888,0.3149
i2_c1,0.9928,0.3027
i2_c2,0.9872,0.3227
i2_c3,0.9896,0.308
i2_c4,0.992,0.3229
i2_c5,0.9936,0.3058
i2_c6,0.9864,0.3106
i2_c7,0.9944,0.3318
i2_g,0.6344,0.4326
i3_c0,0.9848,0.3141
i3_c1,0.9904,0.3014
i3_c2,0.9872,0.3283
i3_c3,0.9912,0.3001
i3_c4,0.9928,0.3252
i3_c5,0.9936,0.3015
i3_c6,0.9864,0.3045
i3_c7,0.9912,0.327
i3_g,0.6317,0.4302
i4_c0,0.9872,0.3163
i4_c1,0.9904,0.3049
i4_c2,0.9896,0.3224
i4_c3,0.9904,0.3068
i4_c4,0.992,0.3269
i4_c5,0.9912,0.3001
i4_c6,0.988,0.3062
i4_c7,0.9936,0.3252
i4_g,0.6353,0.4331
