,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.8672,0.8023,0.1434,0.1543
i0_c1,0.8602,0.7966,0.15,0.1516
i0_g,0.1423,0.1517,,
i1_c0,0.357,0.3409,0.1862,0.19
i1_c1,0.3608,0.3402,0.2014,0.201
i1_g,0.1998,0.2001,,
i2_c0,0.3718,0.3588,0.214,0.2047
i2_c1,0.382,0.3595,0.2154,0.219
i2_g,0.2337,0.2262,,
i3_c0,0.3906,0.3772,0.2526,0.2542
i3_c1,0.3992,0.3726,0.2082,0.2089
i3_g,0.2717,0.2801,,
i4_c0,0.4026,0.3886,0.2272,0.2257
i4_c1,0.4046,0.39,0.2354,0.2276
i4_g,0.2423,0.239,,
i5_c0,0.406,0.382,0.2698,0.2566
i5_c1,0.4038,0.3806,0.2378,0.2285
i5_g,0.2833,0.2741,,
i6_c0,0.4172,0.3906,0.2458,0.239
i6_c1,0.4172,0.3874,0.275,0.2722
i6_g,0.2962,0.2973,,
i7_c0,0.4162,0.4016,0.2236,0.2349
i7_c1,0.4188,0.3986,0.2434,0.2422
i7_g,0.26,0.27,,
i8_c0,0.4114,0.3865,0.2482,0.2459
i8_c1,0.409,0.3869,0.2662,0.2531
i8_g,0.2835,0.2777,,
i9_c0,0.4226,0.39,0.2474,0.2325
i9_c1,0.4302,0.3907,0.2004,0.1925
i9_g,0.2408,0.2404,,
