,train_acc,test_acc
i0_c0,0.8762,0.807
i0_c1,0.8676,0.8045
i0_g,0.8693,0.8338
i1_c0,0.892,0.8212
i1_c1,0.8872,0.827
i1_g,0.8817,0.8458
i2_c0,0.9008,0.8278
i2_c1,0.8924,0.8254
i2_g,0.8888,0.847
i3_c0,0.9018,0.8199
i3_c1,0.8944,0.8251
i3_g,0.8859,0.8458
i4_c0,0.905,0.8283
i4_c1,0.8914,0.8286
i4_g,0.8886,0.8505
i5_c0,0.9048,0.8308
i5_c1,0.899,0.8274
i5_g,0.8898,0.8515
i6_c0,0.9124,0.8292
i6_c1,0.901,0.8324
i6_g,0.8942,0.8514
i7_c0,0.911,0.8347
i7_c1,0.9022,0.834
i7_g,0.8943,0.8514
i8_c0,0.9112,0.8331
i8_c1,0.9008,0.8346
i8_g,0.8939,0.8502
i9_c0,0.9126,0.84
i9_c1,0.9034,0.8317
i9_g,0.8933,0.8544
